	tissue	substance_name	pktype	unit	interventions	individual_pk	value	group_pk	mean	se	cv	time_unit	time	sd	figure	auc_end	kel	max	min	median	category	route	unit_intervention	substance_name_intervention	value_intervention	time_unit_intervention	time_intervention	form	application	choice	se_intervention	min_intervention	max_intervention	study	subject_pk	subject_name	('species', 'choice')	('species', 'count')	('healthy', 'choice')	('healthy', 'count')	('sex', 'choice')	('sex', 'count')	('age', 'count')	('age', 'cv')	('age', 'max')	('age', 'mean')	('age', 'median')	('age', 'min')	('age', 'sd')	('age', 'se')	('age', 'unit')	('weight', 'count')	('weight', 'cv')	('weight', 'max')	('weight', 'mean')	('weight', 'median')	('weight', 'min')	('weight', 'sd')	('weight', 'se')	('weight', 'unit')	('smoking', 'choice')	('smoking', 'count')	('abstinence', 'choice')	('abstinence', 'count')	('abstinence', 'mean')	('abstinence', 'min')	('abstinence', 'unit')	('medication', 'choice')	('medication', 'count')	('overnight fast', 'choice')	('overnight fast', 'count')	('oral contraceptives', 'choice')	('oral contraceptives', 'count')	('ethnicity', 'choice')	('ethnicity', 'count')	('bmi', 'count')	('bmi', 'cv')	('bmi', 'max')	('bmi', 'mean')	('bmi', 'median')	('bmi', 'min')	('bmi', 'sd')	('bmi', 'se')	('bmi', 'unit')	('disease', 'choice')	('disease', 'count')	('fasted', 'count')	('fasted', 'max')	('fasted', 'mean')	('fasted', 'min')	('fasted', 'unit')	('glucose', 'count')	('glucose', 'cv')	('glucose', 'max')	('glucose', 'mean')	('glucose', 'min')	('glucose', 'sd')	('glucose', 'se')	('glucose', 'unit')	('alcohol abstinence', 'choice')	('alcohol abstinence', 'count')	('alcohol abstinence', 'min')	('alcohol abstinence', 'unit')	('smoking amount (cigarettes)', 'count')	('smoking amount (cigarettes)', 'cv')	('smoking amount (cigarettes)', 'max')	('smoking amount (cigarettes)', 'mean')	('smoking amount (cigarettes)', 'min')	('smoking amount (cigarettes)', 'sd')	('smoking amount (cigarettes)', 'se')	('smoking amount (cigarettes)', 'unit')	('height', 'count')	('height', 'cv')	('height', 'max')	('height', 'mean')	('height', 'min')	('height', 'sd')	('height', 'se')	('height', 'unit')	('HbA1c', 'count')	('HbA1c', 'cv')	('HbA1c', 'max')	('HbA1c', 'mean')	('HbA1c', 'min')	('HbA1c', 'se')	('HbA1c', 'unit')	('insulin', 'count')	('insulin', 'cv')	('insulin', 'mean')	('insulin', 'sd')	('insulin', 'se')	('insulin', 'unit')	('phenotype', 'choice')	('phenotype', 'count')	('obesity index', 'count')	('obesity index', 'cv')	('obesity index', 'max')	('obesity index', 'mean')	('obesity index', 'min')	('obesity index', 'sd')	('obesity index', 'se')	('obesity index', 'unit')	('caffeine amount', 'count')	('caffeine amount', 'cv')	('caffeine amount', 'max')	('caffeine amount', 'mean')	('caffeine amount', 'min')	('caffeine amount', 'sd')	('caffeine amount', 'se')	('caffeine amount', 'unit')	('disease duration', 'count')	('disease duration', 'cv')	('disease duration', 'max')	('disease duration', 'mean')	('disease duration', 'min')	('disease duration', 'sd')	('disease duration', 'se')	('disease duration', 'unit')	('consumption', 'choice')	('consumption', 'count')	('consumption', 'cv')	('consumption', 'max')	('consumption', 'mean')	('consumption', 'min')	('consumption', 'se')	('consumption', 'unit')	('CYP2D6 genotype', 'choice')	('CYP2D6 genotype', 'count')	('LDL-C', 'count')	('LDL-C', 'cv')	('LDL-C', 'mean')	('LDL-C', 'se')	('LDL-C', 'unit')	('LDL-H', 'count')	('LDL-H', 'cv')	('LDL-H', 'mean')	('LDL-H', 'se')	('LDL-H', 'unit')	('triglyceride', 'count')	('triglyceride', 'cv')	('triglyceride', 'mean')	('triglyceride', 'se')	('triglyceride', 'unit')	('cholesterol', 'count')	('cholesterol', 'cv')	('cholesterol', 'mean')	('cholesterol', 'se')	('cholesterol', 'unit')	('body surface area', 'count')	('body surface area', 'cv')	('body surface area', 'max')	('body surface area', 'mean')	('body surface area', 'min')	('body surface area', 'sd')	('body surface area', 'se')	('body surface area', 'unit')	('percent fat', 'count')	('percent fat', 'cv')	('percent fat', 'mean')	('percent fat', 'sd')	('percent fat', 'se')	('percent fat', 'unit')	('blood pressure', 'count')	('blood pressure', 'max')	('blood pressure', 'unit')	('obese', 'choice')	('obese', 'count')	('medication type', 'choice')	('medication type', 'count')	('genetics', 'choice')	('genetics', 'count')	('glucagon', 'count')	('glucagon', 'cv')	('glucagon', 'mean')	('glucagon', 'sd')	('glucagon', 'se')	('glucagon', 'unit')	('caffeine', 'choice')	('caffeine', 'count')	('muscle weight', 'count')	('muscle weight', 'cv')	('muscle weight', 'mean')	('muscle weight', 'sd')	('muscle weight', 'se')	('muscle weight', 'unit')	('smoking duration (years)', 'count')	('smoking duration (years)', 'mean')	('smoking duration (years)', 'min')	('smoking duration (years)', 'unit')	('lean body mass', 'count')	('lean body mass', 'cv')	('lean body mass', 'mean')	('lean body mass', 'sd')	('lean body mass', 'se')	('lean body mass', 'unit')	('fat weight', 'count')	('fat weight', 'cv')	('fat weight', 'mean')	('fat weight', 'se')	('fat weight', 'unit')	('metabolic ratio', 'count')	('metabolic ratio', 'max')	('metabolic ratio', 'mean')	('metabolic ratio', 'min')	('metabolic ratio', 'unit')	('alcohol', 'choice')	('alcohol', 'count')	('caffeine amount (beverages)', 'count')	('caffeine amount (beverages)', 'max')	('caffeine amount (beverages)', 'unit')	('smoking amount (packyears)', 'count')	('smoking amount (packyears)', 'min')	('smoking amount (packyears)', 'unit')
162	plasma	caffeine	concentration	µg/ml	244			125.0	['0.00e+00', '6.73e+00', '7.10e+00', '7.26e+00', '7.48e+00', '6.91e+00', '6.65e+00', '5.82e+00']	['0.00e+00', '2.42e-01', '1.44e-01', '1.32e-01', '1.51e-01', '1.81e-01', '1.44e-01', '2.34e-01']	[None, '9.51e-02', '5.35e-02', '4.82e-02', '5.35e-02', '6.95e-02', '5.71e-02', '1.07e-01']	h	['0.00e+00', '5.00e-01', '6.67e-01', '1.00e+00', '1.25e+00', '1.50e+00', '2.00e+00', '3.00e+00']	['0.00e+00', '6.40e-01', '3.80e-01', '3.50e-01', '4.00e-01', '4.80e-01', '3.80e-01', '6.20e-01']	/media/data/Benowitz1995_Fig1.png	18.49458333333333	0.1331696303305267				dosing	oral	mg/kg	caffeine	4.0	h	0.0	capsule	single dose					Benowitz1995	125	4mg	homo sapiens	12	Y	12.0	('M', 'F')	(6, 6)	12.0		59.0	32.0		19.0			yr										N	12	('caffeine', 'alcohol')	(12, 12)		('3.00e+00', None)	('day', None)	N	12			N	12																																																																						12.0	0.64	1170.0	506.0	68.0	324.0	93.5	mg/day																																																																				Y	12																																		
163	plasma	paraxanthine	cmax	µg/ml	248			125.0	5.6	0.22699999999999998	0.107			0.6							dosing	oral	mg/kg	paraxanthine	4.0	h	0.0	capsule	single dose					Benowitz1995	125	4mg	homo sapiens	12	Y	12.0	('M', 'F')	(6, 6)	12.0		59.0	32.0		19.0			yr										N	12	('caffeine', 'alcohol')	(12, 12)		('3.00e+00', None)	('day', None)	N	12			N	12																																																																						12.0	0.64	1170.0	506.0	68.0	324.0	93.5	mg/day																																																																				Y	12																																		
164	plasma	paraxanthine	concentration	µg/ml	248			125.0	['0.00e+00', '3.96e+00', '4.20e+00', '4.68e+00', '5.15e+00', '5.22e+00', '5.56e+00', '5.15e+00']	['0.00e+00', '5.22e-01', '4.42e-01', '3.63e-01', '2.53e-01', '2.12e-01', '7.94e-02', '2.23e-01']	[None, '3.48e-01', '2.79e-01', '2.05e-01', '1.30e-01', '1.07e-01', '3.78e-02', '1.15e-01']	h	['0.00e+00', '5.00e-01', '6.67e-01', '1.00e+00', '1.25e+00', '1.50e+00', '2.00e+00', '3.00e+00']	['0.00e+00', '1.38e+00', '1.17e+00', '9.60e-01', '6.70e-01', '5.60e-01', '2.10e-01', '5.90e-01']	/media/data/Benowitz1995_Fig1.png	13.725	0.07660139358684613				dosing	oral	mg/kg	paraxanthine	4.0	h	0.0	capsule	single dose					Benowitz1995	125	4mg	homo sapiens	12	Y	12.0	('M', 'F')	(6, 6)	12.0		59.0	32.0		19.0			yr										N	12	('caffeine', 'alcohol')	(12, 12)		('3.00e+00', None)	('day', None)	N	12			N	12																																																																						12.0	0.64	1170.0	506.0	68.0	324.0	93.5	mg/day																																																																				Y	12																																		
165	urine	paraxanthine/caffeine	ratio	-	266			132.0	4.77	1.17	0.601	h	24.0								dosing	oral	mg	caffeine	350.0	h	0.0		single dose					Carbo1989	132	all	homo sapiens	6	Y	6.0	M	6																			Y	6	('alcohol', 'methylxanthine', 'caffeine')	(6, 6, 6)		('4.80e+01', '4.80e+01', '4.80e+01')	('h', 'h', 'h')	N	6																		6.0			10.0	h													6		4.00e+01		1.00e+01			1/day																																																																																																																																														
166	urine	theophylline/caffeine	ratio	-	266			132.0	1.01	0.23	0.5579999999999999	h	24.0								dosing	oral	mg	caffeine	350.0	h	0.0		single dose					Carbo1989	132	all	homo sapiens	6	Y	6.0	M	6																			Y	6	('alcohol', 'methylxanthine', 'caffeine')	(6, 6, 6)		('4.80e+01', '4.80e+01', '4.80e+01')	('h', 'h', 'h')	N	6																		6.0			10.0	h													6		4.00e+01		1.00e+01			1/day																																																																																																																																														
167	urine	theobromine/caffeine	ratio	-	266			132.0	1.86	0.28	0.369	h	24.0								dosing	oral	mg	caffeine	350.0	h	0.0		single dose					Carbo1989	132	all	homo sapiens	6	Y	6.0	M	6																			Y	6	('alcohol', 'methylxanthine', 'caffeine')	(6, 6, 6)		('4.80e+01', '4.80e+01', '4.80e+01')	('h', 'h', 'h')	N	6																		6.0			10.0	h													6		4.00e+01		1.00e+01			1/day																																																																																																																																														
168	urine	1X/theophylline	ratio	-	266			132.0	8.42	2.35	0.684	h	24.0								dosing	oral	mg	caffeine	350.0	h	0.0		single dose					Carbo1989	132	all	homo sapiens	6	Y	6.0	M	6																			Y	6	('alcohol', 'methylxanthine', 'caffeine')	(6, 6, 6)		('4.80e+01', '4.80e+01', '4.80e+01')	('h', 'h', 'h')	N	6																		6.0			10.0	h													6		4.00e+01		1.00e+01			1/day																																																																																																																																														
169	urine	1X/paraxanthine	ratio	-	266			132.0	1.86	0.32	0.42100000000000004	h	24.0								dosing	oral	mg	caffeine	350.0	h	0.0		single dose					Carbo1989	132	all	homo sapiens	6	Y	6.0	M	6																			Y	6	('alcohol', 'methylxanthine', 'caffeine')	(6, 6, 6)		('4.80e+01', '4.80e+01', '4.80e+01')	('h', 'h', 'h')	N	6																		6.0			10.0	h													6		4.00e+01		1.00e+01			1/day																																																																																																																																														
170	urine	1X/caffeine	ratio	-	266			132.0	9.0	2.41	0.6559999999999999	h	24.0								dosing	oral	mg	caffeine	350.0	h	0.0		single dose					Carbo1989	132	all	homo sapiens	6	Y	6.0	M	6																			Y	6	('alcohol', 'methylxanthine', 'caffeine')	(6, 6, 6)		('4.80e+01', '4.80e+01', '4.80e+01')	('h', 'h', 'h')	N	6																		6.0			10.0	h													6		4.00e+01		1.00e+01			1/day																																																																																																																																														
171	plasma	caffeine	concentration	µg/ml	266			132.0	['0.00e+00', '6.97e+00', '6.02e+00', '4.51e+00', '4.20e+00', '2.80e+00', '2.06e+00', '1.37e+00', '1.22e+00', '7.90e-01', '1.00e-02']	['1.00e-01', '4.90e-01', '3.30e-01', '4.20e-01', '5.50e-01', '7.40e-01', '6.90e-01', '5.40e-01', '5.40e-01', '5.30e-01', '5.00e-02']	[None, '1.72e-01', '1.34e-01', '2.28e-01', '3.21e-01', '6.47e-01', '8.20e-01', '9.65e-01', '1.08e+00', '1.64e+00', '1.22e+01']	h	['0.00e+00', '1.00e+00', '2.00e+00', '3.00e+00', '4.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01', '1.40e+01', '2.40e+01']		/media/data/Carbo1989_Fig1.png	43.49	0.2611403186909205				dosing	oral	mg	caffeine	350.0	h	0.0		single dose					Carbo1989	132	all	homo sapiens	6	Y	6.0	M	6																			Y	6	('alcohol', 'methylxanthine', 'caffeine')	(6, 6, 6)		('4.80e+01', '4.80e+01', '4.80e+01')	('h', 'h', 'h')	N	6																		6.0			10.0	h													6		4.00e+01		1.00e+01			1/day																																																																																																																																														
172	saliva	caffeine	cmax	µmol/l	272			139.0	10.9	0.9840000000000001	0.20199999999999999			2.2							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	139	females smokers	homo sapiens	23	Y	23.0	F	11	11.0	0.24100000000000002	59.0	42.7		26.0	10.3	3.11	yr	11.0	0.135	76.0	64.5		45.0	8.7	2.62	kg	Y	5	methylxanthine	23		3.60e+01	h	N	23			N	5																															5	0.33299999999999996		12.0		4.0	1.79	1/day																																																																																																																																														
173	saliva	caffeine	tmax	h	272			139.0	1.0												dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	139	females smokers	homo sapiens	23	Y	23.0	F	11	11.0	0.24100000000000002	59.0	42.7		26.0	10.3	3.11	yr	11.0	0.135	76.0	64.5		45.0	8.7	2.62	kg	Y	5	methylxanthine	23		3.60e+01	h	N	23			N	5																															5	0.33299999999999996		12.0		4.0	1.79	1/day																																																																																																																																														
174	saliva	caffeine	thalf	h	272			139.0	3.3	0.76	0.515			1.7							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	139	females smokers	homo sapiens	23	Y	23.0	F	11	11.0	0.24100000000000002	59.0	42.7		26.0	10.3	3.11	yr	11.0	0.135	76.0	64.5		45.0	8.7	2.62	kg	Y	5	methylxanthine	23		3.60e+01	h	N	23			N	5																															5	0.33299999999999996		12.0		4.0	1.79	1/day																																																																																																																																														
175	saliva	caffeine	auc_inf	µmol*h/l	272			139.0	45.9	10.7	0.523			24.0							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	139	females smokers	homo sapiens	23	Y	23.0	F	11	11.0	0.24100000000000002	59.0	42.7		26.0	10.3	3.11	yr	11.0	0.135	76.0	64.5		45.0	8.7	2.62	kg	Y	5	methylxanthine	23		3.60e+01	h	N	23			N	5																															5	0.33299999999999996		12.0		4.0	1.79	1/day																																																																																																																																														
176	saliva	caffeine	clearance	l/h/kg	272			139.0	0.23	0.0447	0.435			0.1							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	139	females smokers	homo sapiens	23	Y	23.0	F	11	11.0	0.24100000000000002	59.0	42.7		26.0	10.3	3.11	yr	11.0	0.135	76.0	64.5		45.0	8.7	2.62	kg	Y	5	methylxanthine	23		3.60e+01	h	N	23			N	5																															5	0.33299999999999996		12.0		4.0	1.79	1/day																																																																																																																																														
177	saliva	caffeine	vd	l/kg	272			139.0	0.91	0.0447	0.11			0.1							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	139	females smokers	homo sapiens	23	Y	23.0	F	11	11.0	0.24100000000000002	59.0	42.7		26.0	10.3	3.11	yr	11.0	0.135	76.0	64.5		45.0	8.7	2.62	kg	Y	5	methylxanthine	23		3.60e+01	h	N	23			N	5																															5	0.33299999999999996		12.0		4.0	1.79	1/day																																																																																																																																														
178	saliva	paraxanthine/caffeine	ratio	-	272			139.0	1.03	0.179	0.38799999999999996			0.4							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	139	females smokers	homo sapiens	23	Y	23.0	F	11	11.0	0.24100000000000002	59.0	42.7		26.0	10.3	3.11	yr	11.0	0.135	76.0	64.5		45.0	8.7	2.62	kg	Y	5	methylxanthine	23		3.60e+01	h	N	23			N	5																															5	0.33299999999999996		12.0		4.0	1.79	1/day																																																																																																																																														
179	plasma	caffeine	cmax	µmol/l	272			139.0	11.2	1.52	0.303			3.4							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	139	females smokers	homo sapiens	23	Y	23.0	F	11	11.0	0.24100000000000002	59.0	42.7		26.0	10.3	3.11	yr	11.0	0.135	76.0	64.5		45.0	8.7	2.62	kg	Y	5	methylxanthine	23		3.60e+01	h	N	23			N	5																															5	0.33299999999999996		12.0		4.0	1.79	1/day																																																																																																																																														
180	plasma	caffeine	tmax	h	272			139.0	1.0												dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	139	females smokers	homo sapiens	23	Y	23.0	F	11	11.0	0.24100000000000002	59.0	42.7		26.0	10.3	3.11	yr	11.0	0.135	76.0	64.5		45.0	8.7	2.62	kg	Y	5	methylxanthine	23		3.60e+01	h	N	23			N	5																															5	0.33299999999999996		12.0		4.0	1.79	1/day																																																																																																																																														
181	plasma	caffeine	thalf	h	272			139.0	2.38	0.546	0.513			1.22							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	139	females smokers	homo sapiens	23	Y	23.0	F	11	11.0	0.24100000000000002	59.0	42.7		26.0	10.3	3.11	yr	11.0	0.135	76.0	64.5		45.0	8.7	2.62	kg	Y	5	methylxanthine	23		3.60e+01	h	N	23			N	5																															5	0.33299999999999996		12.0		4.0	1.79	1/day																																																																																																																																														
182	plasma	caffeine	auc_inf	µmol*h/l	272			139.0	49.9	11.6	0.521			26.0							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	139	females smokers	homo sapiens	23	Y	23.0	F	11	11.0	0.24100000000000002	59.0	42.7		26.0	10.3	3.11	yr	11.0	0.135	76.0	64.5		45.0	8.7	2.62	kg	Y	5	methylxanthine	23		3.60e+01	h	N	23			N	5																															5	0.33299999999999996		12.0		4.0	1.79	1/day																																																																																																																																														
183	plasma	caffeine	clearance	l/h/kg	272			139.0	0.23	0.0671	0.652			0.15							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	139	females smokers	homo sapiens	23	Y	23.0	F	11	11.0	0.24100000000000002	59.0	42.7		26.0	10.3	3.11	yr	11.0	0.135	76.0	64.5		45.0	8.7	2.62	kg	Y	5	methylxanthine	23		3.60e+01	h	N	23			N	5																															5	0.33299999999999996		12.0		4.0	1.79	1/day																																																																																																																																														
184	plasma	caffeine	vd	l/kg	272			139.0	0.61	0.0402	0.14800000000000002			0.09							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	139	females smokers	homo sapiens	23	Y	23.0	F	11	11.0	0.24100000000000002	59.0	42.7		26.0	10.3	3.11	yr	11.0	0.135	76.0	64.5		45.0	8.7	2.62	kg	Y	5	methylxanthine	23		3.60e+01	h	N	23			N	5																															5	0.33299999999999996		12.0		4.0	1.79	1/day																																																																																																																																														
185	plasma	paraxanthine/caffeine	ratio	-	272			139.0	1.17	0.313	0.598			0.7							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	139	females smokers	homo sapiens	23	Y	23.0	F	11	11.0	0.24100000000000002	59.0	42.7		26.0	10.3	3.11	yr	11.0	0.135	76.0	64.5		45.0	8.7	2.62	kg	Y	5	methylxanthine	23		3.60e+01	h	N	23			N	5																															5	0.33299999999999996		12.0		4.0	1.79	1/day																																																																																																																																														
186	saliva	caffeine	concentration	µmol/l	272			139.0	[None, '7.19e+00', '5.06e+00', '3.83e+00', '2.38e+00', '1.63e+00', '1.35e+00', '9.20e-01', '7.60e-01', '4.20e-01', '2.50e-01', None]	[None, '7.02e-01', '6.17e-01', '7.69e-01', '7.56e-01', '5.46e-01', '3.76e-01', '3.44e-01', '2.91e-01', '1.16e-01', '4.02e-02', None]	[None, '2.18e-01', '2.73e-01', '4.49e-01', '7.10e-01', '7.48e-01', '6.22e-01', '8.37e-01', '8.55e-01', '6.19e-01', '3.60e-01', None]	h	['1.00e+00', '2.00e+00', '3.00e+00', '4.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '1.20e+01', '1.40e+01', '2.40e+01', '3.20e+01', '4.80e+01']	[None, '1.57e+00', '1.38e+00', '1.72e+00', '1.69e+00', '1.22e+00', '8.40e-01', '7.70e-01', '6.50e-01', '2.60e-01', '9.00e-02', None]	/media/data/Carrillo2000a_Fig1.png						dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	139	females smokers	homo sapiens	23	Y	23.0	F	11	11.0	0.24100000000000002	59.0	42.7		26.0	10.3	3.11	yr	11.0	0.135	76.0	64.5		45.0	8.7	2.62	kg	Y	5	methylxanthine	23		3.60e+01	h	N	23			N	5																															5	0.33299999999999996		12.0		4.0	1.79	1/day																																																																																																																																														
187	urine	caffeine	cum_amount	µmol	272			139.0	['8.86e+00', '1.89e+01', '3.00e+01']			h	['4.00e+00', '8.00e+00', '2.40e+01']		/media/data/Carrillo2000a_Fig2.png	446.86					dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	139	females smokers	homo sapiens	23	Y	23.0	F	11	11.0	0.24100000000000002	59.0	42.7		26.0	10.3	3.11	yr	11.0	0.135	76.0	64.5		45.0	8.7	2.62	kg	Y	5	methylxanthine	23		3.60e+01	h	N	23			N	5																															5	0.33299999999999996		12.0		4.0	1.79	1/day																																																																																																																																														
188	plasma	caffeine	concentration	µmol/l	272			139.0	['1.11e+01', '9.03e+00', '6.43e+00', '5.03e+00', '2.87e+00', '1.65e+00', '1.25e+00', '2.60e-01', None, None]	['9.70e-01', '7.29e-01', '7.38e-01', '6.13e-01', '6.93e-01', '6.62e-01', '4.07e-01', '8.50e-02', None, None]	['1.96e-01', '1.81e-01', '2.57e-01', '2.72e-01', '5.40e-01', '8.97e-01', '7.28e-01', '7.31e-01', None, None]	h	['1.00e+00', '2.00e+00', '3.00e+00', '4.00e+00', '6.00e+00', '8.00e+00', '1.00e+01', '2.40e+01', '3.20e+01', '4.80e+01']	['2.17e+00', '1.63e+00', '1.65e+00', '1.37e+00', '1.55e+00', '1.48e+00', '9.10e-01', '1.90e-01', None, None]	/media/data/Carrillo2000a_Fig1.png						dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	139	females smokers	homo sapiens	23	Y	23.0	F	11	11.0	0.24100000000000002	59.0	42.7		26.0	10.3	3.11	yr	11.0	0.135	76.0	64.5		45.0	8.7	2.62	kg	Y	5	methylxanthine	23		3.60e+01	h	N	23			N	5																															5	0.33299999999999996		12.0		4.0	1.79	1/day																																																																																																																																														
189	urine	17U	cum_amount	µmol	272			139.0	['1.68e+00', '2.41e+00', '3.76e+00']			h	['4.00e+00', '8.00e+00', '2.40e+01']		/media/data/Carrillo2000a_Fig2.png	57.54					dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	139	females smokers	homo sapiens	23	Y	23.0	F	11	11.0	0.24100000000000002	59.0	42.7		26.0	10.3	3.11	yr	11.0	0.135	76.0	64.5		45.0	8.7	2.62	kg	Y	5	methylxanthine	23		3.60e+01	h	N	23			N	5																															5	0.33299999999999996		12.0		4.0	1.79	1/day																																																																																																																																														
190	plasma	caffeine	cmax	µmol/l	272			136.0	9.48	0.354	0.105			1.0							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	136	males nonsmokers	homo sapiens	23	Y	23.0	M	12	12.0	0.27899999999999997	68.0	44.1		28.0	12.3	3.55	yr	12.0	0.0896	95.0	83.7		74.0	7.5	2.17	kg	N	8	methylxanthine	23		3.60e+01	h	N	23																																																																																																																																																																																								
191	plasma	caffeine	tmax	h	272			136.0	1.12	0.106	0.268			0.3							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	136	males nonsmokers	homo sapiens	23	Y	23.0	M	12	12.0	0.27899999999999997	68.0	44.1		28.0	12.3	3.55	yr	12.0	0.0896	95.0	83.7		74.0	7.5	2.17	kg	N	8	methylxanthine	23		3.60e+01	h	N	23																																																																																																																																																																																								
192	plasma	caffeine	thalf	h	272			136.0	3.81	0.354	0.262			1.0							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	136	males nonsmokers	homo sapiens	23	Y	23.0	M	12	12.0	0.27899999999999997	68.0	44.1		28.0	12.3	3.55	yr	12.0	0.0896	95.0	83.7		74.0	7.5	2.17	kg	N	8	methylxanthine	23		3.60e+01	h	N	23																																																																																																																																																																																								
193	plasma	caffeine	auc_inf	µmol*h/l	272			136.0	65.1	7.07	0.307			20.0							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	136	males nonsmokers	homo sapiens	23	Y	23.0	M	12	12.0	0.27899999999999997	68.0	44.1		28.0	12.3	3.55	yr	12.0	0.0896	95.0	83.7		74.0	7.5	2.17	kg	N	8	methylxanthine	23		3.60e+01	h	N	23																																																																																																																																																																																								
194	plasma	caffeine	clearance	l/h/kg	272			136.0	0.11	0.0106	0.273			0.03							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	136	males nonsmokers	homo sapiens	23	Y	23.0	M	12	12.0	0.27899999999999997	68.0	44.1		28.0	12.3	3.55	yr	12.0	0.0896	95.0	83.7		74.0	7.5	2.17	kg	N	8	methylxanthine	23		3.60e+01	h	N	23																																																																																																																																																																																								
195	plasma	caffeine	vd	l/kg	272			136.0	0.55	0.0212	0.109			0.06							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	136	males nonsmokers	homo sapiens	23	Y	23.0	M	12	12.0	0.27899999999999997	68.0	44.1		28.0	12.3	3.55	yr	12.0	0.0896	95.0	83.7		74.0	7.5	2.17	kg	N	8	methylxanthine	23		3.60e+01	h	N	23																																																																																																																																																																																								
196	plasma	paraxanthine/caffeine	ratio	-	272			136.0	0.77	0.0707	0.26			0.2							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	136	males nonsmokers	homo sapiens	23	Y	23.0	M	12	12.0	0.27899999999999997	68.0	44.1		28.0	12.3	3.55	yr	12.0	0.0896	95.0	83.7		74.0	7.5	2.17	kg	N	8	methylxanthine	23		3.60e+01	h	N	23																																																																																																																																																																																								
197	saliva	caffeine	cmax	µmol/l	272			136.0	8.28	0.495	0.16899999999999998			1.4							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	136	males nonsmokers	homo sapiens	23	Y	23.0	M	12	12.0	0.27899999999999997	68.0	44.1		28.0	12.3	3.55	yr	12.0	0.0896	95.0	83.7		74.0	7.5	2.17	kg	N	8	methylxanthine	23		3.60e+01	h	N	23																																																																																																																																																																																								
198	saliva	caffeine	tmax	h	272			136.0	1.0												dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	136	males nonsmokers	homo sapiens	23	Y	23.0	M	12	12.0	0.27899999999999997	68.0	44.1		28.0	12.3	3.55	yr	12.0	0.0896	95.0	83.7		74.0	7.5	2.17	kg	N	8	methylxanthine	23		3.60e+01	h	N	23																																																																																																																																																																																								
199	saliva	caffeine	thalf	h	272			136.0	5.1	0.53	0.294			1.5							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	136	males nonsmokers	homo sapiens	23	Y	23.0	M	12	12.0	0.27899999999999997	68.0	44.1		28.0	12.3	3.55	yr	12.0	0.0896	95.0	83.7		74.0	7.5	2.17	kg	N	8	methylxanthine	23		3.60e+01	h	N	23																																																																																																																																																																																								
200	saliva	caffeine	auc_inf	µmol*h/l	272			136.0	54.0	5.66	0.29600000000000004			16.0							dosing	oral	mg	caffeine	100.0	h	0.0	tablet	single dose					Carrillo2000a	136	males nonsmokers	homo sapiens	23	Y	23.0	M	12	12.0	0.27899999999999997	68.0	44.1		28.0	12.3	3.55	yr	12.0	0.0896	95.0	83.7		74.0	7.5	2.17	kg	N	8	methylxanthine	23		3.60e+01	h	N	23																																																																																																																																																																																								
