study	output_type	pk	tissue	substance_name	pktype	unit	interventions	individual_pk	value	group_pk	mean	se	cv	time_unit	time	sd	figure	auc_end	kel	max	min	median
Test243	outputs	24742	plasma	caffeine	kel	1/h	3140	1487.0	0.254													
Test243	outputs	24743	plasma	caffeine	kel	1/h	3140	1488.0	0.14													
Test243	outputs	24744	plasma	caffeine	kel	1/h	3140	1489.0	0.18													
Test243	outputs	24745	plasma	caffeine	kel	1/h	3140	1490.0	0.156													
Test243	outputs	24746	plasma	caffeine	kel	1/h	3140	1491.0	0.198													
Test243	outputs	24747	plasma	caffeine	kel	1/h	3140	1492.0	0.247													
Test243	outputs	24748	plasma	caffeine	kel	1/h	3140	1493.0	0.135													
Test243	outputs	24749	plasma	caffeine	kel	1/h	3140	1494.0	0.0849													
Test243	outputs	24750	plasma	caffeine	kel	1/h	3140	1495.0	0.331													
Test243	outputs	24751	plasma	caffeine	kel	1/h	3140	1496.0	0.155													
Test243	outputs	24752	plasma	caffeine	kel	1/h	3140	1497.0	0.152													
Test243	outputs	24753	plasma	caffeine	kel	1/h	3140	1498.0	0.163													
Test243	outputs	24754	plasma	caffeine	kel	1/h	3140	1499.0	0.124													
Test243	outputs	24755	plasma	caffeine	kel	1/h	3140	1500.0	0.147													
Test243	outputs	24756	plasma	caffeine	kel	1/h	3140	1501.0	0.0567													
Test243	outputs	24757	plasma	caffeine	kel	1/h	3140	1502.0	0.174													
Test243	outputs	24758	plasma	caffeine	kel	1/h	3140	1503.0	0.14800000000000002													
Test243	outputs	24759	plasma	caffeine	kel	1/h	3140	1504.0	0.121													
Test243	outputs	24760	plasma	caffeine	kel	1/h	3140	1505.0	0.111													
Test243	outputs	24761	plasma	caffeine	kel	1/h	3140	1506.0	0.12300000000000001													
Test243	outputs	24762	plasma	caffeine	kel	1/h	3140	1507.0	0.109													
Test243	outputs	24763	plasma	caffeine	kel	1/h	3140	1508.0	0.125													
Test243	outputs	24764	plasma	caffeine	kel	1/h	3140	1509.0	0.174													
Test243	outputs	24765	plasma	caffeine	kel	1/h	3140	1510.0	0.165													
Test243	outputs	24766	plasma	caffeine	kel	1/h	3140	1511.0	0.111													
Test243	outputs	24767	plasma	caffeine	kel	1/h	3140	1512.0	0.0912													
Test243	outputs	24768	plasma	caffeine	kel	1/h	3140	1513.0	0.0688													
Test243	outputs	24769	plasma	caffeine	kel	1/h	3140	1514.0	0.154													
Test243	outputs	24770	plasma	caffeine	kel	1/h	3140	1515.0	0.184													
Test243	outputs	24771	plasma	caffeine	kel	1/h	3140	1516.0	0.0999													
Test243	outputs	24772	plasma	caffeine	kel	1/h	3140	1517.0	0.11599999999999999													
Test243	outputs	24773	plasma	caffeine	kel	1/h	3140	1518.0	0.17800000000000002													
Test243	outputs	24774	plasma	caffeine	kel	1/h	3140	1519.0	0.20600000000000002													
Test243	outputs	24775	plasma	caffeine	kel	1/h	3140	1520.0	0.35													
Test243	outputs	24776	plasma	caffeine	kel	1/h	3140	1521.0	0.29													
Test243	outputs	24777	plasma	caffeine	kel	1/h	3140	1522.0	0.172													
Test243	outputs	24778	plasma	caffeine	kel	1/h	3140	1523.0	0.256													
Test243	outputs	24779	plasma	caffeine	kel	1/h	3140	1524.0	0.17300000000000001													
Test243	outputs	24780	plasma	caffeine	kel	1/h	3140	1525.0	0.0921													
Test243	outputs	24781	plasma	caffeine	kel	1/h	3140	1526.0	0.17300000000000001													
Test243	outputs	24782	plasma	caffeine	kel	1/h	3140	1527.0	0.155													
Test243	outputs	24783	plasma	caffeine	kel	1/h	3140	1528.0	0.182													
Test243	outputs	24784	plasma	caffeine	kel	1/h	3140	1529.0	0.134													
Test243	outputs	24785	plasma	caffeine	kel	1/h	3140	1530.0	0.205													
Test243	outputs	24786	plasma	caffeine	kel	1/h	3140	1531.0	0.124													
Test243	outputs	24787	plasma	caffeine	kel	1/h	3140	1532.0	0.0667													
Test243	outputs	24788	plasma	caffeine	kel	1/h	3140	1533.0	0.077													
Test243	outputs	24789	plasma	caffeine	kel	1/h	3140	1534.0	0.151													
Test243	outputs	24790	plasma	caffeine	kel	1/h	3140	1535.0	0.158													
Test243	outputs	24791	plasma	caffeine	kel	1/h	3140	1536.0	0.14800000000000002													
Test243	outputs	24792	plasma	caffeine	kel	1/h	3140	1537.0	0.19399999999999998													
Test243	outputs	24793	plasma	caffeine	kel	1/h	3140	1538.0	0.0819													
Test243	outputs	24794	plasma	caffeine	kel	1/h	3140	1539.0	0.0613													
Test243	outputs	24795	plasma	caffeine	kel	1/h	3140	1540.0	0.145													
Test243	outputs	24796	plasma	caffeine	kel	1/h	3140	1541.0	0.152													
Test243	outputs	24797	plasma	caffeine	kel	1/h	3140	1542.0	0.0957													
Test243	outputs	24798	plasma	caffeine	kel	1/h	3140	1543.0	0.155													
Test243	outputs	24799	plasma	caffeine	kel	1/h	3140	1544.0	0.155													
Test243	outputs	24800	plasma	caffeine	kel	1/h	3140	1545.0	0.278													
Test243	outputs	24801	plasma	caffeine	kel	1/h	3140	1546.0	0.106													
Test243	outputs	24802	plasma	caffeine	kel	1/h	3140	1547.0	0.111													
Test243	outputs	24803	plasma	caffeine	kel	1/h	3140	1548.0	0.24600000000000002													
Test243	outputs	24804	plasma	caffeine	kel	1/h	3140	1549.0	0.11599999999999999													
Test243	outputs	24805	plasma	caffeine	kel	1/h	3140	1550.0	0.16899999999999998													
Test243	outputs	24806	plasma	caffeine	kel	1/h	3140	1551.0	0.147													
Test243	outputs	24807	plasma	caffeine	kel	1/h	3140	1552.0	0.18													
Test243	outputs	24808	plasma	caffeine	kel	1/h	3140	1553.0	0.156													
Test243	outputs	24809	plasma	caffeine	kel	1/h	3140	1554.0	0.0947													
Test243	outputs	24810	plasma	caffeine	kel	1/h	3140	1555.0	0.16													
Test243	outputs	24811	plasma	caffeine	kel	1/h	3140	1556.0	0.281													
Test243	outputs	24812	plasma	caffeine	kel	1/h	3140	1557.0	0.11													
Test243	outputs	24813	plasma	caffeine	kel	1/h	3140	1558.0	0.17600000000000002													
Test243	outputs	24814	plasma	caffeine	kel	1/h	3140	1559.0	0.168													
Test243	outputs	24815	plasma	caffeine	kel	1/h	3140	1560.0	0.172													
Test243	outputs	24816	plasma	caffeine	kel	1/h	3140	1561.0	0.139													
Test243	outputs	24817	plasma	caffeine	thalf	h	3140	1460.0	2.62													
Test243	outputs	24818	plasma	caffeine	thalf	h	3140	1461.0	3.03													
Test243	outputs	24819	plasma	caffeine	thalf	h	3140	1462.0	3.61													
Test243	outputs	24820	plasma	caffeine	thalf	h	3140	1463.0	3.1													
Test243	outputs	24821	plasma	caffeine	thalf	h	3140	1464.0	3.96													
Test243	outputs	24822	plasma	caffeine	thalf	h	3140	1465.0	5.67													
Test243	outputs	24823	plasma	caffeine	thalf	h	3140	1466.0	4.66													
Test243	outputs	24824	plasma	caffeine	thalf	h	3140	1467.0	5.39													
Test243	outputs	24825	plasma	caffeine	thalf	h	3140	1468.0	7.81													
Test243	outputs	24826	plasma	caffeine	thalf	h	3140	1469.0	13.9													
Test243	outputs	24827	plasma	caffeine	thalf	h	3140	1470.0	7.67													
Test243	outputs	24828	plasma	caffeine	thalf	h	3140	1471.0	7.53													
Test243	outputs	24829	plasma	caffeine	thalf	h	3140	1472.0	3.51													
Test243	outputs	24830	plasma	caffeine	thalf	h	3140	1473.0	13.8													
Test243	outputs	24831	plasma	caffeine	thalf	h	3140	1474.0	6.86													
Test243	outputs	24832	plasma	caffeine	thalf	h	3140	1475.0	2.75													
Test243	outputs	24833	plasma	caffeine	thalf	h	3140	1476.0	11.2													
Test243	outputs	24834	plasma	caffeine	thalf	h	3140	1477.0	4.35													
Test243	outputs	24835	plasma	caffeine	thalf	h	3140	1478.0	3.6													
Test243	outputs	24836	plasma	caffeine	thalf	h	3140	1479.0	4.44													
Test243	outputs	24837	plasma	caffeine	thalf	h	3140	1480.0	3.72													
Test243	outputs	24838	plasma	caffeine	thalf	h	3140	1481.0	2.78													
Test243	outputs	24839	plasma	caffeine	thalf	h	3140	1482.0	7.87													
Test243	outputs	24840	plasma	caffeine	thalf	h	3140	1483.0	2.98													
Test243	outputs	24841	plasma	caffeine	thalf	h	3140	1484.0	3.29													
Test243	outputs	24842	plasma	caffeine	thalf	h	3140	1485.0	9.08													
Test243	outputs	24843	plasma	caffeine	thalf	h	3140	1486.0	5.07													
Test243	outputs	24844	plasma	caffeine	thalf	h	3140	1487.0	2.73													
Test243	outputs	24845	plasma	caffeine	thalf	h	3140	1488.0	4.94													
Test243	outputs	24846	plasma	caffeine	thalf	h	3140	1489.0	3.86													
Test243	outputs	24847	plasma	caffeine	thalf	h	3140	1490.0	4.44													
Test243	outputs	24848	plasma	caffeine	thalf	h	3140	1491.0	3.51													
Test243	outputs	24849	plasma	caffeine	thalf	h	3140	1492.0	2.81													
Test243	outputs	24850	plasma	caffeine	thalf	h	3140	1493.0	5.14													
Test243	outputs	24851	plasma	caffeine	thalf	h	3140	1494.0	8.17													
Test243	outputs	24852	plasma	caffeine	thalf	h	3140	1495.0	2.09													
Test243	outputs	24853	plasma	caffeine	thalf	h	3140	1496.0	4.47													
Test243	outputs	24854	plasma	caffeine	thalf	h	3140	1497.0	4.57													
Test243	outputs	24855	plasma	caffeine	thalf	h	3140	1498.0	4.24													
Test243	outputs	24856	plasma	caffeine	thalf	h	3140	1499.0	5.57													
Test243	outputs	24857	plasma	caffeine	thalf	h	3140	1500.0	4.73													
Test243	outputs	24858	plasma	caffeine	thalf	h	3140	1501.0	12.2													
Test243	outputs	24859	plasma	caffeine	thalf	h	3140	1502.0	3.97													
Test243	outputs	24860	plasma	caffeine	thalf	h	3140	1503.0	4.7													
Test243	outputs	24861	plasma	caffeine	thalf	h	3140	1504.0	5.71													
Test243	outputs	24862	plasma	caffeine	thalf	h	3140	1505.0	6.24													
Test243	outputs	24863	plasma	caffeine	thalf	h	3140	1506.0	5.63													
Test243	outputs	24864	plasma	caffeine	thalf	h	3140	1507.0	6.36													
Test243	outputs	24865	plasma	caffeine	thalf	h	3140	1508.0	5.56													
Test243	outputs	24866	plasma	caffeine	thalf	h	3140	1509.0	3.99													
Test243	outputs	24867	plasma	caffeine	thalf	h	3140	1510.0	4.21													
Test243	outputs	24868	plasma	caffeine	thalf	h	3140	1511.0	6.27													
Test243	outputs	24869	plasma	caffeine	thalf	h	3140	1512.0	7.6													
Test243	outputs	24870	plasma	caffeine	thalf	h	3140	1513.0	10.1													
Test243	outputs	24871	plasma	caffeine	thalf	h	3140	1514.0	4.5													
Test243	outputs	24872	plasma	caffeine	thalf	h	3140	1515.0	3.77													
Test243	outputs	24873	plasma	caffeine	thalf	h	3140	1516.0	6.94													
Test243	outputs	24874	plasma	caffeine	thalf	h	3140	1517.0	5.96													
Test243	outputs	24875	plasma	caffeine	thalf	h	3140	1518.0	3.9													
Test243	outputs	24876	plasma	caffeine	thalf	h	3140	1519.0	3.36													
Test243	outputs	24877	plasma	caffeine	thalf	h	3140	1520.0	1.98													
Test243	outputs	24878	plasma	caffeine	thalf	h	3140	1521.0	2.39													
Test243	outputs	24879	plasma	caffeine	thalf	h	3140	1522.0	4.04													
Test243	outputs	24880	plasma	caffeine	thalf	h	3140	1523.0	2.71													
Test243	outputs	24881	plasma	caffeine	thalf	h	3140	1524.0	4.01													
Test243	outputs	24882	plasma	caffeine	thalf	h	3140	1525.0	7.52													
Test243	outputs	24883	plasma	caffeine	thalf	h	3140	1526.0	4.01													
Test243	outputs	24884	plasma	caffeine	thalf	h	3140	1527.0	4.46													
Test243	outputs	24885	plasma	caffeine	thalf	h	3140	1528.0	3.82													
Test243	outputs	24886	plasma	caffeine	thalf	h	3140	1529.0	5.18													
Test243	outputs	24887	plasma	caffeine	thalf	h	3140	1530.0	3.38													
Test243	outputs	24888	plasma	caffeine	thalf	h	3140	1531.0	5.6													
Test243	outputs	24889	plasma	caffeine	thalf	h	3140	1532.0	10.4													
Test243	outputs	24890	plasma	caffeine	thalf	h	3140	1533.0	9.0													
Test243	outputs	24891	plasma	caffeine	thalf	h	3140	1534.0	4.58													
Test243	outputs	24892	plasma	caffeine	thalf	h	3140	1535.0	4.37													
Test243	outputs	24893	plasma	caffeine	thalf	h	3140	1536.0	4.68													
Test243	outputs	24894	plasma	caffeine	thalf	h	3140	1537.0	3.57													
Test243	outputs	24895	plasma	caffeine	thalf	h	3140	1538.0	8.46													
Test243	outputs	24896	plasma	caffeine	thalf	h	3140	1539.0	11.3													
Test243	outputs	24897	plasma	caffeine	thalf	h	3140	1540.0	4.77													
Test243	outputs	24898	plasma	caffeine	thalf	h	3140	1541.0	4.56													
Test243	outputs	24899	plasma	caffeine	thalf	h	3140	1542.0	7.24													
Test243	outputs	24900	plasma	caffeine	thalf	h	3140	1543.0	4.47													
Test243	outputs	24901	plasma	caffeine	thalf	h	3140	1544.0	4.48													
Test243	outputs	24902	plasma	caffeine	thalf	h	3140	1545.0	2.5													
Test243	outputs	24903	plasma	caffeine	thalf	h	3140	1546.0	6.57													
Test243	outputs	24904	plasma	caffeine	thalf	h	3140	1547.0	6.26													
Test243	outputs	24905	plasma	caffeine	thalf	h	3140	1548.0	2.82													
Test243	outputs	24906	plasma	caffeine	thalf	h	3140	1549.0	5.96													
Test243	outputs	24907	plasma	caffeine	thalf	h	3140	1550.0	4.11													
Test243	outputs	24908	plasma	caffeine	thalf	h	3140	1551.0	4.73													
Test243	outputs	24909	plasma	caffeine	thalf	h	3140	1552.0	3.85													
Test243	outputs	24910	plasma	caffeine	thalf	h	3140	1553.0	4.44													
Test243	outputs	24911	plasma	caffeine	thalf	h	3140	1554.0	7.32													
Test243	outputs	24912	plasma	caffeine	thalf	h	3140	1555.0	4.32													
Test243	outputs	24913	plasma	caffeine	thalf	h	3140	1556.0	2.47													
Test243	outputs	24914	plasma	caffeine	thalf	h	3140	1557.0	6.32													
Test243	outputs	24915	plasma	caffeine	thalf	h	3140	1558.0	3.94													
Test243	outputs	24916	plasma	caffeine	thalf	h	3140	1559.0	4.11													
Test243	outputs	24917	plasma	caffeine	thalf	h	3140	1560.0	4.02													
Test243	outputs	24918	plasma	caffeine	thalf	h	3140	1561.0	5.0													
Test243	outputs	24919	plasma	caffeine	vd	l	3140	1460.0	46.1													
Test243	outputs	24920	plasma	caffeine	vd	l	3140	1461.0	28.7													
Test243	outputs	24921	plasma	caffeine	vd	l	3140	1462.0	50.1													
Test243	outputs	24922	plasma	caffeine	vd	l	3140	1463.0	36.2													
Test243	outputs	24923	plasma	caffeine	vd	l	3140	1464.0	50.5													
Test243	outputs	24924	plasma	caffeine	vd	l	3140	1465.0	32.3													
Test243	outputs	24925	plasma	caffeine	vd	l	3140	1466.0	51.7													
Test243	outputs	24926	plasma	caffeine	vd	l	3140	1467.0	46.8													
Test243	outputs	24927	plasma	caffeine	vd	l	3140	1468.0	30.7													
Test243	outputs	24928	plasma	caffeine	vd	l	3140	1469.0	42.8													
Test243	outputs	24929	plasma	caffeine	vd	l	3140	1470.0	26.4													
Test243	outputs	24930	plasma	caffeine	vd	l	3140	1471.0	51.4													
Test243	outputs	24931	plasma	caffeine	vd	l	3140	1472.0	50.8													
Test243	outputs	24932	plasma	caffeine	vd	l	3140	1473.0	39.9													
Test243	outputs	24933	plasma	caffeine	vd	l	3140	1474.0	46.4													
Test243	outputs	24934	plasma	caffeine	vd	l	3140	1475.0	45.3													
Test243	outputs	24935	plasma	caffeine	vd	l	3140	1476.0	48.0													
Test243	outputs	24936	plasma	caffeine	vd	l	3140	1477.0	48.0													
Test243	outputs	24937	plasma	caffeine	vd	l	3140	1478.0	47.0													
Test243	outputs	24938	plasma	caffeine	vd	l	3140	1479.0	61.9													
Test243	outputs	24939	plasma	caffeine	vd	l	3140	1480.0	46.3													
Test243	outputs	24940	plasma	caffeine	vd	l	3140	1481.0	44.5													
Test243	outputs	24941	plasma	caffeine	vd	l	3140	1482.0	47.6													
Test243	outputs	24942	plasma	caffeine	vd	l	3140	1483.0	55.1													
Test243	outputs	24943	plasma	caffeine	vd	l	3140	1484.0	46.3													
Test243	outputs	24944	plasma	caffeine	vd	l	3140	1485.0	36.8													
Test243	outputs	24945	plasma	caffeine	vd	l	3140	1486.0	47.3													
Test243	outputs	24946	plasma	caffeine	vd	l	3140	1487.0	57.7													
Test243	outputs	24947	plasma	caffeine	vd	l	3140	1488.0	54.8													
Test243	outputs	24948	plasma	caffeine	vd	l	3140	1489.0	50.8													
Test243	outputs	24949	plasma	caffeine	vd	l	3140	1490.0	52.6													
Test243	outputs	24950	plasma	caffeine	vd	l	3140	1491.0	37.6													
Test243	outputs	24951	plasma	caffeine	vd	l	3140	1492.0	63.9													
Test243	outputs	24952	plasma	caffeine	vd	l	3140	1493.0	45.7													
Test243	outputs	24953	plasma	caffeine	vd	l	3140	1494.0	44.7													
Test243	outputs	24954	plasma	caffeine	vd	l	3140	1495.0	66.1													
Test243	outputs	24955	plasma	caffeine	vd	l	3140	1496.0	44.7													
Test243	outputs	24956	plasma	caffeine	vd	l	3140	1497.0	64.4													
Test243	outputs	24957	plasma	caffeine	vd	l	3140	1498.0	39.4													
Test243	outputs	24958	plasma	caffeine	vd	l	3140	1499.0	52.4													
Test243	outputs	24959	plasma	caffeine	vd	l	3140	1500.0	40.9													
Test243	outputs	24960	plasma	caffeine	vd	l	3140	1501.0	30.7													
Test243	outputs	24961	plasma	caffeine	vd	l	3140	1502.0	59.8													
Test243	outputs	24962	plasma	caffeine	vd	l	3140	1503.0	59.2													
Test243	outputs	24963	plasma	caffeine	vd	l	3140	1504.0	43.5													
Test243	outputs	24964	plasma	caffeine	vd	l	3140	1505.0	30.9													
Test243	outputs	24965	plasma	caffeine	vd	l	3140	1506.0	37.2													
Test243	outputs	24966	plasma	caffeine	vd	l	3140	1507.0	52.0													
Test243	outputs	24967	plasma	caffeine	vd	l	3140	1508.0	39.0													
Test243	outputs	24968	plasma	caffeine	vd	l	3140	1509.0	42.2													
Test243	outputs	24969	plasma	caffeine	vd	l	3140	1510.0	55.8													
Test243	outputs	24970	plasma	caffeine	vd	l	3140	1511.0	36.4													
Test243	outputs	24971	plasma	caffeine	vd	l	3140	1512.0	33.7													
Test243	outputs	24972	plasma	caffeine	vd	l	3140	1513.0	42.4													
Test243	outputs	24973	plasma	caffeine	vd	l	3140	1514.0	30.8													
Test243	outputs	24974	plasma	caffeine	vd	l	3140	1515.0	46.2													
Test243	outputs	24975	plasma	caffeine	vd	l	3140	1516.0	46.7													
Test243	outputs	24976	plasma	caffeine	vd	l	3140	1517.0	55.1													
Test243	outputs	24977	plasma	caffeine	vd	l	3140	1518.0	60.3													
Test243	outputs	24978	plasma	caffeine	vd	l	3140	1519.0	57.9													
Test243	outputs	24979	plasma	caffeine	vd	l	3140	1520.0	69.0													
Test243	outputs	24980	plasma	caffeine	vd	l	3140	1521.0	74.7													
Test243	outputs	24981	plasma	caffeine	vd	l	3140	1522.0	39.3													
Test243	outputs	24982	plasma	caffeine	vd	l	3140	1523.0	40.7													
Test243	outputs	24983	plasma	caffeine	vd	l	3140	1524.0	61.2													
Test243	outputs	24984	plasma	caffeine	vd	l	3140	1525.0	60.8													
Test243	outputs	24985	plasma	caffeine	vd	l	3140	1526.0	45.9													
Test243	outputs	24986	plasma	caffeine	vd	l	3140	1527.0	55.7													
Test243	outputs	24987	plasma	caffeine	vd	l	3140	1528.0	43.2													
Test243	outputs	24988	plasma	caffeine	vd	l	3140	1529.0	40.9													
Test243	outputs	24989	plasma	caffeine	vd	l	3140	1530.0	67.7													
Test243	outputs	24990	plasma	caffeine	vd	l	3140	1531.0	59.4													
Test243	outputs	24991	plasma	caffeine	vd	l	3140	1532.0	55.0													
Test243	outputs	24992	plasma	caffeine	vd	l	3140	1533.0	52.7													
Test243	outputs	24993	plasma	caffeine	vd	l	3140	1534.0	38.8													
Test243	outputs	24994	plasma	caffeine	vd	l	3140	1535.0	57.7													
Test243	outputs	24995	plasma	caffeine	vd	l	3140	1536.0	42.8													
Test243	outputs	24996	plasma	caffeine	vd	l	3140	1537.0	51.9													
Test243	outputs	24997	plasma	caffeine	vd	l	3140	1538.0	37.1													
Test243	outputs	24998	plasma	caffeine	vd	l	3140	1539.0	35.3													
Test243	outputs	24999	plasma	caffeine	vd	l	3140	1540.0	52.9													
Test243	outputs	25000	plasma	caffeine	vd	l	3140	1541.0	56.1													
Test243	outputs	25001	plasma	caffeine	vd	l	3140	1542.0	36.8													
Test243	outputs	25002	plasma	caffeine	vd	l	3140	1543.0	41.4													
Test243	outputs	25003	plasma	caffeine	vd	l	3140	1544.0	34.4													
Test243	outputs	25004	plasma	caffeine	vd	l	3140	1545.0	62.1													
Test243	outputs	25005	plasma	caffeine	vd	l	3140	1546.0	44.7													
Test243	outputs	25006	plasma	caffeine	vd	l	3140	1547.0	65.5													
Test243	outputs	25007	plasma	caffeine	vd	l	3140	1548.0	47.5													
Test243	outputs	25008	plasma	caffeine	vd	l	3140	1549.0	43.7													
Test243	outputs	25009	plasma	caffeine	vd	l	3140	1550.0	46.6													
Test243	outputs	25010	plasma	caffeine	vd	l	3140	1551.0	53.0													
Test243	outputs	25011	plasma	caffeine	vd	l	3140	1552.0	57.0													
Test243	outputs	25012	plasma	caffeine	vd	l	3140	1553.0	63.7													
Test243	outputs	25013	plasma	caffeine	vd	l	3140	1554.0	47.4													
Test243	outputs	25014	plasma	caffeine	vd	l	3140	1555.0	36.4													
Test243	outputs	25015	plasma	caffeine	vd	l	3140	1556.0	70.3													
Test243	outputs	25016	plasma	caffeine	vd	l	3140	1557.0	38.6													
Test243	outputs	25017	plasma	caffeine	vd	l	3140	1558.0	37.9													
Test243	outputs	25018	plasma	caffeine	vd	l	3140	1559.0	38.7													
Test243	outputs	25019	plasma	caffeine	vd	l	3140	1560.0	49.3													
Test243	outputs	25020	plasma	caffeine	vd	l	3140	1561.0	44.1													
Lafolie1996	outputs	26055	urine	codeine	recovery	-	3186	1582.0	0.563													
Lafolie1996	outputs	26056	urine	codeine	recovery	-	3186	1583.0	0.622													
Lafolie1996	outputs	26057	urine	codeine	recovery	-	3186	1584.0	0.76													
Lafolie1996	outputs	26058	urine	codeine	recovery	-	3186	1585.0	0.818													
Lafolie1996	outputs	26059	urine	codeine	recovery	-	3186	1586.0	0.9840000000000001													
Lafolie1996	outputs	26060	urine	codeine	recovery	-	3186	1587.0	0.898													
Lafolie1996	outputs	26061	urine	codeine	recovery	-	3186	1588.0	0.354													
Lafolie1996	outputs	26062	urine	codeine	recovery	-	3186	1589.0	0.713													
Lafolie1996	outputs	26063	urine	codeine	recovery	-	3186	1590.0	0.63													
Lafolie1996	outputs	26064	urine	codeine	recovery	-	3186	1591.0	0.65													
Lafolie1996	outputs	26065	urine	codeine	recovery	-	3186	1592.0	0.528													
Lafolie1996	outputs	26066	urine	codeine	recovery	-	3186	1593.0	0.375													
Lafolie1996	outputs	26067	urine	codeine	recovery	-	3186	1594.0	0.653													
Lafolie1996	outputs	26068	urine	morphine	recovery	-	3186	1582.0	0.0315													
Lafolie1996	outputs	26069	urine	morphine	recovery	-	3186	1583.0	0.0392													
Lafolie1996	outputs	26070	urine	morphine	recovery	-	3186	1584.0	0.0234													
Lafolie1996	outputs	26071	urine	morphine	recovery	-	3186	1585.0	0.0743													
Lafolie1996	outputs	26072	urine	morphine	recovery	-	3186	1586.0	0.10800000000000001													
Lafolie1996	outputs	26073	urine	morphine	recovery	-	3186	1587.0	0.0484													
Lafolie1996	outputs	26074	urine	morphine	recovery	-	3186	1588.0	0.0438													
Lafolie1996	outputs	26075	urine	morphine	recovery	-	3186	1589.0	0.0195													
Lafolie1996	outputs	26076	urine	morphine	recovery	-	3186	1590.0	0.0893													
Lafolie1996	outputs	26077	urine	morphine	recovery	-	3186	1591.0	0.0781													
Lafolie1996	outputs	26078	urine	morphine	recovery	-	3186	1592.0	0.0711													
Lafolie1996	outputs	26079	urine	morphine	recovery	-	3186	1593.0	0.0635													
Lafolie1996	outputs	26080	urine	morphine	recovery	-	3186	1594.0	0.017													
Lafolie1996	outputs	26081	urine	morphine/codine	ratio	-	3186	1582.0	0.056													
Lafolie1996	outputs	26082	urine	morphine/codine	ratio	-	3186	1583.0	0.063													
Lafolie1996	outputs	26083	urine	morphine/codine	ratio	-	3186	1584.0	0.031													
Lafolie1996	outputs	26084	urine	morphine/codine	ratio	-	3186	1585.0	0.091													
Lafolie1996	outputs	26085	urine	morphine/codine	ratio	-	3186	1586.0	0.11													
Lafolie1996	outputs	26086	urine	morphine/codine	ratio	-	3186	1587.0	0.054													
Lafolie1996	outputs	26087	urine	morphine/codine	ratio	-	3186	1588.0	0.124													
Lafolie1996	outputs	26088	urine	morphine/codine	ratio	-	3186	1589.0	0.027													
Lafolie1996	outputs	26089	urine	morphine/codine	ratio	-	3186	1590.0	0.142													
Lafolie1996	outputs	26090	urine	morphine/codine	ratio	-	3186	1591.0	0.12													
ZylberKatz1984	outputs	25137	saliva	caffeine	thalf	h	3154	1562.0	3.2													
ZylberKatz1984	outputs	25138	saliva	caffeine	thalf	h	3154	1563.0	4.9													
ZylberKatz1984	outputs	25139	saliva	caffeine	thalf	h	3154	1564.0	12.6													
ZylberKatz1984	outputs	25140	saliva	caffeine	thalf	h	3154	1565.0	8.3													
ZylberKatz1984	outputs	25141	saliva	caffeine	thalf	h	3154	1566.0	9.7													
ZylberKatz1984	outputs	25142	saliva	caffeine	auc_inf	mg*h/l	3154	1562.0	31.8													
ZylberKatz1984	outputs	25143	saliva	caffeine	auc_inf	mg*h/l	3154	1563.0	66.5													
ZylberKatz1984	outputs	25144	saliva	caffeine	auc_inf	mg*h/l	3154	1564.0	136.0													
ZylberKatz1984	outputs	25145	saliva	caffeine	auc_inf	mg*h/l	3154	1565.0	87.7													
ZylberKatz1984	outputs	25146	saliva	caffeine	auc_inf	mg*h/l	3154	1566.0	92.8													
ZylberKatz1984	outputs	25147	saliva	caffeine	clearance	l/h/kg	3154	1562.0	0.126													
ZylberKatz1984	outputs	25148	saliva	caffeine	clearance	l/h/kg	3154	1563.0	0.09													
ZylberKatz1984	outputs	25149	saliva	caffeine	clearance	l/h/kg	3154	1564.0	0.03													
ZylberKatz1984	outputs	25150	saliva	caffeine	clearance	l/h/kg	3154	1565.0	0.048													
ZylberKatz1984	outputs	25151	saliva	caffeine	clearance	l/h/kg	3154	1566.0	0.06													
ZylberKatz1984	outputs	25152	saliva	caffeine	vd	l/kg	3154	1562.0	0.58													
ZylberKatz1984	outputs	25153	saliva	caffeine	vd	l/kg	3154	1563.0	0.62													
ZylberKatz1984	outputs	25154	saliva	caffeine	vd	l/kg	3154	1564.0	0.55													
ZylberKatz1984	outputs	25155	saliva	caffeine	vd	l/kg	3154	1565.0	0.56													
ZylberKatz1984	outputs	25156	saliva	caffeine	vd	l/kg	3154	1566.0	0.84													
ZylberKatz1984	outputs	25169	saliva	caffeine	thalf	h	3155	1567.0	3.9													
ZylberKatz1984	outputs	25170	saliva	caffeine	thalf	h	3155	1568.0	4.4													
ZylberKatz1984	outputs	25171	saliva	caffeine	thalf	h	3155	1569.0	4.4													
ZylberKatz1984	outputs	25172	saliva	caffeine	auc_inf	mg*h/l	3155	1567.0	46.7													
ZylberKatz1984	outputs	25173	saliva	caffeine	auc_inf	mg*h/l	3155	1568.0	45.9													
ZylberKatz1984	outputs	25174	saliva	caffeine	auc_inf	mg*h/l	3155	1569.0	28.1													
ZylberKatz1984	outputs	25175	saliva	caffeine	clearance	l/h/kg	3155	1567.0	0.114													
ZylberKatz1984	outputs	25176	saliva	caffeine	clearance	l/h/kg	3155	1568.0	0.10800000000000001													
ZylberKatz1984	outputs	25177	saliva	caffeine	clearance	l/h/kg	3155	1569.0	0.12													
ZylberKatz1984	outputs	25178	saliva	caffeine	vd	l/kg	3155	1567.0	0.64													
