study	intervention	subjects	dosing	substance	source	entry	tissue	pktype	per_bw	value	sd	se	cv	min	max	unit	comment
Culm-Merdek2005	control	S1	D1	caffeine	Tab1	E1	plasma	clearance	yes	1.34		0.24				ml/min/kg	
Culm-Merdek2005	control	S1	D1	caffeine	Tab1	E1	plasma	vd		40		2.5				l	
Culm-Merdek2005	control	S1	D1	caffeine	Tab1	E1	plasma	vd		0.5		0.04				l/kg	
Culm-Merdek2005	control	S1	D1	caffeine	Tab1	E1	plasma	thalf		4.9		0.65				h	
Culm-Merdek2005	control	S1	D1	caffeine	Tab1	E1	plasma	tmax		1.14		0.26				h	
Culm-Merdek2005	control	S1	D1	caffeine	Tab1	E1	plasma	cmax		5.81		0.49				µg/ml	
Culm-Merdek2005	control	S1	D1	caffeine	Tab1	E1	plasma	auc		46.3		7				µg/ml*h	
Culm-Merdek2005	control	S1	D1	paraxanthine	Tab1	E1	plasma	auc24h		27.3		3.09				µg/ml*h	
Culm-Merdek2005	control	S1	D1	theobromine	Tab1	E1	plasma	auc24h		14.8		3.37				µg/ml*h	
Culm-Merdek2005	control	S1	D1	theophylline	Tab1	E1	plasma	auc24h		1.96		0.94				µg/ml*h	
Culm-Merdek2005	fluvoxamine	S1	D1,D2_A,D2_B,D2_C,D2_D	caffeine	Tab1	E2	plasma	clearance		9.12		2.02				ml/min	
Culm-Merdek2005	fluvoxamine	S1	D1,D2_A,D2_B,D2_C,D2_D	caffeine	Tab1	E2	plasma	clearance	yes	0.14		0.03				ml/min/kg	
Culm-Merdek2005	fluvoxamine	S1	D1,D2_A,D2_B,D2_C,D2_D	caffeine	Tab1	E2	plasma	vd		44.7		8.5				l	
Culm-Merdek2005	fluvoxamine	S1	D1,D2_A,D2_B,D2_C,D2_D	caffeine	Tab1	E2	plasma	vd		0.54		0.1				l/kg	
Culm-Merdek2005	fluvoxamine	S1	D1,D2_A,D2_B,D2_C,D2_D	caffeine	Tab1	E2	plasma	thalf		55.9		10.7				h	
Culm-Merdek2005	fluvoxamine	S1	D1,D2_A,D2_B,D2_C,D2_D	caffeine	Tab1	E2	plasma	tmax		4.57		3.25				h	
Culm-Merdek2005	fluvoxamine	S1	D1,D2_A,D2_B,D2_C,D2_D	caffeine	Tab1	E2	plasma	cmax		8.14		0.75				µg/ml	
Culm-Merdek2005	fluvoxamine	S1	D1,D2_A,D2_B,D2_C,D2_D	caffeine	Tab1	E2	plasma	auc		635		146				µg/ml*h	
Culm-Merdek2005	fluvoxamine	S1	D1,D2_A,D2_B,D2_C,D2_D	paraxanthine	Tab1	E2	plasma	auc24h		9.03		1.82				µg/ml*h	
Culm-Merdek2005	fluvoxamine	S1	D1,D2_A,D2_B,D2_C,D2_D	theobromine	Tab1	E2	plasma	auc24h		18.15		4.92				µg/ml*h	
Culm-Merdek2005	fluvoxamine	S1	D1,D2_A,D2_B,D2_C,D2_D	theophylline	Tab1	E2	plasma	auc24h		5.07		1.14				µg/ml*h	
Desmond1980	control	S1	D1	caffeine	Tab2	E1	plasma	thalf		5.2	2.4					h	
Desmond1980	control	S1	D1	caffeine	Tab2	E1	plasma	vd	yes	0.54	0.17					l/kg	
Desmond1980	control	S1	D1	caffeine	Tab2	E1	plasma	clearance	yes	1.4	0.5					ml/min/kg	
Desmond1980	control	S1	D1	caffeine	Tab2	E1	plasma	plasma_binding		313	1.8					-	
Desmond1980	control	S1	D1	caffeine	Tab2	E1	plasma	clearance_unbound	yes	2	0.7					ml/min/kg	
Desmond1980	cirrhosis	S3	D1	caffeine	Tab2	E2	plasma	thalf		6.1	1.9					h	
Desmond1980	cirrhosis	S3	D1	caffeine	Tab2	E2	plasma	vd	yes	0.47	0.16					l/kg	
Desmond1980	cirrhosis	S3	D1	caffeine	Tab2	E2	plasma	clearance	yes	0.9	0.3					ml/min/kg	
Desmond1980	cirrhosis	S3	D1	caffeine	Tab2	E2	plasma	plasma_binding		25.5	4					-	
Desmond1980	cirrhosis	S3	D1	caffeine	Tab2	E2	plasma	clearance_unbound	yes	1.2	0.4					ml/min/kg	
Parsons1978	control	S1	D1	caffeine	Tab2	E1	saliva	thalf		6	1.9					h	
Parsons1978	control	S1	D1	caffeine	Tab2	E1	saliva	kel		0.13		13				1/h	
Parsons1978	control	S1	D1	caffeine	Tab2	E1	saliva	vd	yes	0.61		0.08				l/kg	
Parsons1978	control	S1	D1	caffeine	Tab2	E1	saliva	clearance		1.57		0.3				ml/min/kg	
Parsons1978	smoking	S2	D1	caffeine	Tab2	E1	saliva	thalf		3.5	1.37					h	
Parsons1978	smoking	S2	D1	caffeine	Tab2	E1	saliva	kel		0.23		29				1/h	
Parsons1978	smoking	S2	D1	caffeine	Tab2	E1	saliva	vd	yes	0.72		67				l/kg	
Parsons1978	smoking	S2	D1	caffeine	Tab2	E1	saliva	clearance		2.58		0.27				ml/min/kg	
Fuhr1993a	control	S1	D1	caffeine	Tab2	E1	plasma	auc		147	77					µmol/l*h	
Fuhr1993a	control	S1	D1	caffeine	Tab2	E1	plasma	clearance		115	54					ml/min	
Fuhr1993a	control	S1	D1	caffeine	Tab2	E1	plasma	thalf		4.5	1.8					h	
Fuhr1993a	control	S1	D1	caffeine	Tab2	E1	plasma	vd	yes	0.57	0.6					l/kg	
Fuhr1993a	grapefruit	S1	D1	caffeine	Tab2	E2	plasma	auc		195	132					µmol/l*h	
Fuhr1993a	grapefruit	S1	D1	caffeine	Tab2	E2	plasma	clearance		94	44					ml/min	
Fuhr1993a	grapefruit	S1	D1	caffeine	Tab2	E2	plasma	thalf		6	3					h	
Fuhr1993a	grapefruit	S1	D1	caffeine	Tab2	E2	plasma	vd	yes	0.6	0.09					l/kg	
Fuhr1993a	control	S2	D1	caffeine	Tab2	E3	plasma	auc		95.83	20.42			51	109	µmol/l*h	
Fuhr1993a	control	S2	D1	caffeine	Tab2	E3	plasma	clearance		152.17	45			107	248	ml/min	
Fuhr1993a	control	S2	D1	caffeine	Tab2	E3	plasma	thalf		3.1	0.94			1.8	4.7	h	
Fuhr1993a	control	S2	D1	caffeine	Tab2	E3	plasma	vd	yes	0.58	0.14			0.43	0.78	l/kg	
Fuhr1993a	control	S3	D1	caffeine	Tab2	E4	plasma	auc		197.83	72.08			122	332	µmol/l*h	
Fuhr1993a	control	S3	D1	caffeine	Tab2	E4	plasma	clearance		79.17	25.41			42	117	ml/min	
Fuhr1993a	control	S3	D1	caffeine	Tab2	E4	plasma	thalf		5.83	1.14			4.4	7.9	h	
Fuhr1993a	control	S3	D1	caffeine	Tab2	E4	plasma	vd	yes	0.55	0.03			0.51	0.61	l/kg	
ZylberKatz1984	control	S1	D1	caffeine	Tab1	E1	plasma	thalf		7.18	3.09			3.1	12.1	h	
ZylberKatz1984	control	S1	D1	caffeine	Tab1	E1	plasma	auc		99.44	41.54			40.7	169.7	µg/ml*h	
ZylberKatz1984	control	S1	D1	caffeine	Tab1	E1	plasma	clearance	yes	0.96	0.4			0.4	1.6	ml/min/kg	
ZylberKatz1984	control	S1	D1	caffeine	Tab1	E1	plasma	vd	yes	0.48	0.06			0.42	0.59	l/kg	
ZylberKatz1984	control	S1	D1	caffeine	Tab1	E2	saliva	thalf		7.74	3.36			3.2	12.6	h	
ZylberKatz1984	control	S1	D1	caffeine	Tab1	E2	saliva	auc		82.98	34.15			31.8	136.1	µg/ml*h	
ZylberKatz1984	control	S1	D1	caffeine	Tab1	E2	saliva	clearance	yes	1.18	0.56			0.5	2.1	ml/min/kg	
ZylberKatz1984	control	S1	D1	caffeine	Tab1	E2	saliva	vd	yes	0.63	0.11			0.55	0.84	l/kg	
ZylberKatz1984	control	S2	D2	caffeine	Tab1	E3	plasma	thalf		4.73	0.05			4.7	4.8	h	
ZylberKatz1984	control	S2	D2	caffeine	Tab1	E3	plasma	auc		57.57	13.17			39	68.2	µg/ml*h	
ZylberKatz1984	control	S2	D2	caffeine	Tab1	E3	plasma	clearance	yes	1.33	0.47			1	2	ml/min/kg	
ZylberKatz1984	control	S2	D2	caffeine	Tab1	E3	plasma	vd	yes	0.55	0.04			0.52	0.61	l/kg	
ZylberKatz1984	control	S2	D2	caffeine	Tab1	E4	saliva	thalf		4.23	0.24			3.9	4.4	h	
ZylberKatz1984	control	S2	D2	caffeine	Tab1	E4	saliva	auc		40.23	8.59			28.1	46.7	µg/ml*h	
ZylberKatz1984	control	S2	D2	caffeine	Tab1	E4	saliva	clearance	yes	1.9	0.08			1.8	2	ml/min/kg	
ZylberKatz1984	control	S2	D2	caffeine	Tab1	E4	saliva	vd	yes	0.7	0.05			0.64	0.77	l/kg	
ZylberKatz1984	control	S3	D3	caffeine	Tab1	E5	plasma	thalf		4.7	1.67			3.3	7.5	h	
ZylberKatz1984	control	S3	D3	caffeine	Tab1	E5	plasma	auc		63.93	43.03			30.9	136.5	µg/ml*h	
ZylberKatz1984	control	S3	D3	caffeine	Tab1	E5	plasma	clearance	yes	1.5	0.5			1	2	ml/min/kg	
ZylberKatz1984	control	S3	D3	caffeine	Tab1	E5	plasma	vd	yes	0.53	0.12			0.4	0.71	l/kg	
ZylberKatz1984	control	S3	D3	caffeine	Tab1	E6	saliva	thalf		4.72	1.72			3.1	7.6	h	
ZylberKatz1984	control	S3	D3	caffeine	Tab1	E6	saliva	auc		53.53	32.62			27.1	108.9	µg/ml*h	
ZylberKatz1984	control	S3	D3	caffeine	Tab1	E6	saliva	clearance	yes	1.65	0.5			0.9	2.3	ml/min/kg	
ZylberKatz1984	control	S3	D3	caffeine	Tab1	E6	saliva	vd	yes	0.59	0.05			0.53	0.65	l/kg	
Granfors2005	control	S1	D1	caffeine	Text	E1	plasma	caf_px_6h	yes	1.62	0.71					-	
Granfors2005	oral contraceptive (OC)	S2	D1	caffeine	Text	E2	plasma	caf_px_6h	yes	4.6	2.56					-	caffeine to paraxanthine ratio after 6h
Haller2002	control	S1	D1	caffeine	Tab3	E1	plasma	tmax		94	29.7					min	
Haller2002	control	S1	D1	caffeine	Tab3	E1	plasma	cmax		5	1.26					µg/ml	
Haller2002	control	S1	D1	caffeine	Tab3	E1	plasma	thalf		8.1	4.76					h	
Haller2002	control	S1	D1	caffeine	Tab3	E1	plasma	auc		73.7	43					µg/ml*h	
Haller2002	control	S1	D1	caffeine	Tab3	E1	plasma	clearance	yes	0.81	0.44					ml/min/kg	
Haller2002	control	S1	D1	caffeine	Tab3	E1	plasma	vd	yes	0.46	0.07					l/kg	
Healy1991	control	S1	D1	caffeine	Tab1	E1	plasma	cmax		4.35	0.63					µg/ml	
Healy1991	control	S1	D1	caffeine	Tab1	E1	plasma	tmax		0.78	0.18					h	
Healy1991	control	S1	D1	caffeine	Tab1	E1	plasma	thalf		4.8	1.1					h	
Healy1991	control	S1	D1	caffeine	Tab1	E1	plasma	auc		30.3	6.9					µg/ml*h	AUC 0-24
Healy1991	control	S1	D1	caffeine	Tab1	E1	plasma	clearance_tbc		104	21.8					ml/min/1.73m^2	total body clearance
Healy1991	control	S1	D1	paraxanthine	Tab1	E2	plasma	cmax		1.32	0.23					µg/ml	
Healy1991	control	S1	D1	paraxanthine	Tab1	E2	plasma	tmax		5.88	1.54					h	
Healy1991	control	S1	D1	paraxanthine	Tab1	E2	plasma	thalf		9.2	2.9					h	
Healy1991	control	S1	D1	paraxanthine	Tab1	E2	plasma	auc		21.3	4.9					µg/ml*h	AUC 0-24
Healy1991	lomefloxacin	S1	D1	caffeine	Tab1	E3	plasma	cmax		4.07	0.56					µg/ml	
Healy1991	lomefloxacin	S1	D1	caffeine	Tab1	E3	plasma	tmax		0.98	0.31					h	
Healy1991	lomefloxacin	S1	D1	caffeine	Tab1	E3	plasma	thalf		4.8	1.2					h	
Healy1991	lomefloxacin	S1	D1	caffeine	Tab1	E3	plasma	auc		29.7	6.6					µg/ml*h	AUC 0-24
Healy1991	lomefloxacin	S1	D1	caffeine	Tab1	E1	plasma	clearance_tbc		107	20.4					ml/min/1.73m^2	total body clearance
Healy1991	lomefloxacin	S1	D1	paraxanthine	Tab1	E4	plasma	cmax		1.34	0.27					µg/ml	
Healy1991	lomefloxacin	S1	D1	paraxanthine	Tab1	E4	plasma	tmax		5.5	1.15					h	
Healy1991	lomefloxacin	S1	D1	paraxanthine	Tab1	E4	plasma	thalf		9.2	4					h	
Healy1991	lomefloxacin	S1	D1	paraxanthine	Tab1	E4	plasma	auc		20.8	4.6					µg/ml*h	AUC 0-24
Healy1991	lomefloxacin	S1	D1	lomefloxacin	Tab1	E5	plasma	cmax		3.1	0.53					µg/ml	
Healy1991	lomefloxacin	S1	D1	lomefloxacin	Tab1	E5	plasma	tmax		1.45	0.65					h	
Healy1991	lomefloxacin	S1	D1	lomefloxacin	Tab1	E5	plasma	thalf		6.3	1.8					h	
Healy1991	lomefloxacin	S1	D1	lomefloxacin	Tab1	E5	plasma	auc		25.2	3.4					µg/ml*h	AUC 0-24
Harder1988	control_OFL	S1	D_CAF	caffeine	Tab3	E1	plasma	thalf		2.9	0.7					h	
Harder1988	control_OFL	S1	D_CAF	caffeine	Tab3	E1	plasma	auc		20.6	8.4					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	control_OFL	S1	D_CAF	caffeine	Tab3	E1	plasma	tmax		0.83	0.44					h	
Harder1988	control_OFL	S1	D_CAF	caffeine	Tab3	E1	plasma	cmax		4.09	0.86					mg/l	
Harder1988	OFL	S1	D_CAF,D_OFL_A  , D_OFL_B ,  D_OFL_C , D_OFL_D	caffeine	Tab3	E2	plasma	thalf		2.8	1					h	
Harder1988	OFL	S1	D_CAF,D_OFL_A  , D_OFL_B ,  D_OFL_C , D_OFL_D	caffeine	Tab3	E2	plasma	auc		20.3	8.4					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	OFL	S1	D_CAF,D_OFL_A  , D_OFL_B ,  D_OFL_C , D_OFL_D	caffeine	Tab3	E2	plasma	tmax		0.68	0.26					h	
Harder1988	OFL	S1	D_CAF,D_OFL_A  , D_OFL_B ,  D_OFL_C , D_OFL_D	caffeine	Tab3	E2	plasma	cmax		4.34	1.08					mg/l	
Harder1988	control_NOR	S1	D_CAF	caffeine	Tab3	E3	plasma	thalf		3.2	1.1					h	
Harder1988	control_NOR	S1	D_CAF	caffeine	Tab3	E3	plasma	auc		21.4	9.8					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	control_NOR	S1	D_CAF	caffeine	Tab3	E3	plasma	tmax		0.6	0.2					h	
Harder1988	control_NOR	S1	D_CAF	caffeine	Tab3	E3	plasma	cmax		4.33	0.79					mg/l	
Harder1988	NOR	S1	D_CAF,D_NOR_A  , D_NOR_B ,  D_NOR_C , D_NOR_D	caffeine	Tab3	E4	plasma	thalf		3.7	1.1					h	
Harder1988	NOR	S1	D_CAF,D_NOR_A  , D_NOR_B ,  D_NOR_C , D_NOR_D	caffeine	Tab3	E4	plasma	auc		24.9	10					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	NOR	S1	D_CAF,D_NOR_A  , D_NOR_B ,  D_NOR_C , D_NOR_D	caffeine	Tab3	E4	plasma	tmax		0.8	0.3					h	
Harder1988	NOR	S1	D_CAF,D_NOR_A  , D_NOR_B ,  D_NOR_C , D_NOR_D	caffeine	Tab3	E4	plasma	cmax		4.37	0.85					mg/l	
Harder1988	control_PPA	S1	D_CAF	caffeine	Tab3	E5	plasma	thalf		3.3	1.1					h	
Harder1988	control_PPA	S1	D_CAF	caffeine	Tab3	E5	plasma	auc		21.8	8.7					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	control_PPA	S1	D_CAF	caffeine	Tab3	E5	plasma	tmax		1.1	0.6					h	
Harder1988	control_PPA	S1	D_CAF	caffeine	Tab3	E5	plasma	cmax		3.86	0.55					mg/l	
Harder1988	PPA	S1	D_CAF,D_PPA_A  , D_PPA_B ,  D_PPA_C , D_PPA_D	caffeine	Tab3	E6	plasma	thalf		7.3	3.2					h	
Harder1988	PPA	S1	D_CAF,D_PPA_A  , D_PPA_B ,  D_PPA_C , D_PPA_D	caffeine	Tab3	E6	plasma	auc		60.8	27.3					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	PPA	S1	D_CAF,D_PPA_A  , D_PPA_B ,  D_PPA_C , D_PPA_D	caffeine	Tab3	E6	plasma	tmax		2	1.7					h	
Harder1988	PPA	S1	D_CAF,D_PPA_A  , D_PPA_B ,  D_PPA_C , D_PPA_D	caffeine	Tab3	E6	plasma	cmax		5.17	0.83					mg/l	
Harder1988	control_CIP1	S1	D_CAF	caffeine	Tab3	E7	plasma	thalf		3.4	1.2					h	
Harder1988	control_CIP1	S1	D_CAF	caffeine	Tab3	E7	plasma	auc		21.4	9.2					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	control_CIP1	S1	D_CAF	caffeine	Tab3	E7	plasma	tmax		1	0.5					h	
Harder1988	control_CIP1	S1	D_CAF	caffeine	Tab3	E7	plasma	cmax		3.94	0.6					mg/l	
Harder1988	CIP1	S1	D_CAF, D_CIP1_A , D_CIP1_B , D_CIP1_C , D_CIP1_D	caffeine	Tab3	E8	plasma	thalf		3.6	1.5					h	
Harder1988	CIP1	S1	D_CAF, D_CIP1_A , D_CIP1_B , D_CIP1_C , D_CIP1_D	caffeine	Tab3	E8	plasma	auc		25	9.8					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	CIP1	S1	D_CAF, D_CIP1_A , D_CIP1_B , D_CIP1_C , D_CIP1_D	caffeine	Tab3	E8	plasma	tmax		1	0.5					h	
Harder1988	CIP1	S1	D_CAF, D_CIP1_A , D_CIP1_B , D_CIP1_C , D_CIP1_D	caffeine	Tab3	E8	plasma	cmax		4.21	0.59					mg/l	
Harder1988	control_CIP2	S1	D_CAF	caffeine	Tab3	E9	plasma	thalf		3.4	0.9					h	
Harder1988	control_CIP2	S1	D_CAF	caffeine	Tab3	E9	plasma	auc		22.4	7.5					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	control_CIP2	S1	D_CAF	caffeine	Tab3	E9	plasma	tmax		0.71	0.26					h	
Harder1988	control_CIP2	S1	D_CAF	caffeine	Tab3	E9	plasma	cmax		4.49	1.29					mg/l	
Harder1988	CIP2	S1	D_CAF, D_CIP2_A , D_CIP2_B , D_CIP2_C , D_CIP2_D	caffeine	Tab3	E10	plasma	thalf		3.9	1					h	
Harder1988	CIP2	S1	D_CAF, D_CIP2_A , D_CIP2_B , D_CIP2_C , D_CIP2_D	caffeine	Tab3	E10	plasma	auc		35.2	18.7					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	CIP2	S1	D_CAF, D_CIP2_A , D_CIP2_B , D_CIP2_C , D_CIP2_D	caffeine	Tab3	E10	plasma	tmax		1.04	0.75					h	
Harder1988	CIP2	S1	D_CAF, D_CIP2_A , D_CIP2_B , D_CIP2_C , D_CIP2_D	caffeine	Tab3	E10	plasma	cmax		4.88	0.81					mg/l	
Harder1988	control_CIP3	S1	D_CAF	caffeine	Tab3	E11	plasma	thalf		3.4	1					h	
Harder1988	control_CIP3	S1	D_CAF	caffeine	Tab3	E11	plasma	auc		20.4	6.8					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	control_CIP3	S1	D_CAF	caffeine	Tab3	E11	plasma	tmax		0.9	0.4					h	
Harder1988	control_CIP3	S1	D_CAF	caffeine	Tab3	E11	plasma	cmax		3.91	1.06					mg/l	
Harder1988	CIP3	S1	D_CAF, D_CIP3_A , D_CIP3_B , D_CIP3_C , D_CIP3_D	caffeine	Tab3	E12	plasma	thalf		4.3	1.2					h	
Harder1988	CIP3	S1	D_CAF, D_CIP3_A , D_CIP3_B , D_CIP3_C , D_CIP3_D	caffeine	Tab3	E12	plasma	auc		32.2	13.6					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	CIP3	S1	D_CAF, D_CIP3_A , D_CIP3_B , D_CIP3_C , D_CIP3_D	caffeine	Tab3	E12	plasma	tmax		0.9	0.4					h	
Harder1988	CIP3	S1	D_CAF, D_CIP3_A , D_CIP3_B , D_CIP3_C , D_CIP3_D	caffeine	Tab3	E12	plasma	cmax		4.57	0.74					mg/l	
Harder1988	control_ENX1	S1	D_CAF	caffeine	Tab3	E13	plasma	thalf		3	1.1					h	
Harder1988	control_ENX1	S1	D_CAF	caffeine	Tab3	E13	plasma	auc		20	7.8					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	control_ENX1	S1	D_CAF	caffeine	Tab3	E13	plasma	tmax		0.8	0.3					h	
Harder1988	control_ENX1	S1	D_CAF	caffeine	Tab3	E13	plasma	cmax		3.99	0.8					mg/l	
Harder1988	ENX1	S1	D_CAF, D_ENX1_A , D_ENX1_B , D_ENX1_C , D_ENX1_D	caffeine	Tab3	E14	plasma	thalf		6.1	1.7					h	
Harder1988	ENX1	S1	D_CAF, D_ENX1_A , D_ENX1_B , D_ENX1_C , D_ENX1_D	caffeine	Tab3	E14	plasma	auc		47.6	17.2					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	ENX1	S1	D_CAF, D_ENX1_A , D_ENX1_B , D_ENX1_C , D_ENX1_D	caffeine	Tab3	E14	plasma	tmax		1	0.6					h	
Harder1988	ENX1	S1	D_CAF, D_ENX1_A , D_ENX1_B , D_ENX1_C , D_ENX1_D	caffeine	Tab3	E14	plasma	cmax		5	1.14					mg/l	
Harder1988	control_ENX2	S1	D_CAF	caffeine	Tab3	E15	plasma	thalf		3.4	1.2					h	
Harder1988	control_ENX2	S1	D_CAF	caffeine	Tab3	E15	plasma	auc		21.8	8.7					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	control_ENX2	S1	D_CAF	caffeine	Tab3	E15	plasma	tmax		1	0.5					h	
Harder1988	control_ENX2	S1	D_CAF	caffeine	Tab3	E15	plasma	cmax		4.27	0.62					mg/l	
Harder1988	ENX2	S1	D_CAF, D_ENX2_A , D_ENX2_B , D_ENX2_C , D_ENX2_D	caffeine	Tab3	E16	plasma	thalf		7.7	2.5					h	
Harder1988	ENX2	S1	D_CAF, D_ENX2_A , D_ENX2_B , D_ENX2_C , D_ENX2_D	caffeine	Tab3	E16	plasma	auc		60.2	15.4					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	ENX2	S1	D_CAF, D_ENX2_A , D_ENX2_B , D_ENX2_C , D_ENX2_D	caffeine	Tab3	E16	plasma	tmax		1	0.5					h	
Harder1988	ENX2	S1	D_CAF, D_ENX2_A , D_ENX2_B , D_ENX2_C , D_ENX2_D	caffeine	Tab3	E16	plasma	cmax		5.15	1					mg/l	
Harder1988	control_ENX3	S1	D_CAF	caffeine	Tab3	E17	plasma	thalf		3.3	1.3					h	
Harder1988	control_ENX3	S1	D_CAF	caffeine	Tab3	E17	plasma	auc		22.6	9.8					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	control_ENX3	S1	D_CAF	caffeine	Tab3	E17	plasma	tmax		0.7	0.3					h	
Harder1988	control_ENX3	S1	D_CAF	caffeine	Tab3	E17	plasma	cmax		3.9	0.7					mg/l	
Harder1988	ENX3	S1	D_CAF, D_ENX3_A , D_ENX3_B , D_ENX3_C , D_ENX3_D	caffeine	Tab3	E18	plasma	thalf		11.8	5					h	
Harder1988	ENX3	S1	D_CAF, D_ENX3_A , D_ENX3_B , D_ENX3_C , D_ENX3_D	caffeine	Tab3	E18	plasma	auc		100.8	31.5					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	ENX3	S1	D_CAF, D_ENX3_A , D_ENX3_B , D_ENX3_C , D_ENX3_D	caffeine	Tab3	E18	plasma	tmax		1.1	0.7					h	
Harder1988	ENX3	S1	D_CAF, D_ENX3_A , D_ENX3_B , D_ENX3_C , D_ENX3_D	caffeine	Tab3	E18	plasma	cmax		5.51	1.04					mg/l	
Harder1988	control_OFL	S1	D_CAF	paraxanthine	Tab4	E1	plasma	thalf		3	1.2					h	
Harder1988	control_OFL	S1	D_CAF	paraxanthine	Tab4	E1	plasma	auc		16	5.2					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	control_OFL	S1	D_CAF	paraxanthine	Tab4	E1	plasma	tmax		5.7	1.89					h	
Harder1988	control_OFL	S1	D_CAF	paraxanthine	Tab4	E1	plasma	cmax		1.17	0.22					mg/l	
Harder1988	OFL	S1	D_CAF,D_OFL_A  , D_OFL_B ,  D_OFL_C , D_OFL_D	paraxanthine	Tab4	E2	plasma	thalf		2.8	1.2					h	
Harder1988	OFL	S1	D_CAF,D_OFL_A  , D_OFL_B ,  D_OFL_C , D_OFL_D	paraxanthine	Tab4	E2	plasma	auc		15.2	6					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	OFL	S1	D_CAF,D_OFL_A  , D_OFL_B ,  D_OFL_C , D_OFL_D	paraxanthine	Tab4	E2	plasma	tmax		4.32	0.94					h	
Harder1988	OFL	S1	D_CAF,D_OFL_A  , D_OFL_B ,  D_OFL_C , D_OFL_D	paraxanthine	Tab4	E2	plasma	cmax		1.11	0.16					mg/l	
Harder1988	control_NOR	S1	D_CAF	paraxanthine	Tab4	E3	plasma	thalf		2.8	1.3					h	
Harder1988	control_NOR	S1	D_CAF	paraxanthine	Tab4	E3	plasma	auc		23.8	9					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	control_NOR	S1	D_CAF	paraxanthine	Tab4	E3	plasma	tmax		4.7	2.1					h	
Harder1988	control_NOR	S1	D_CAF	paraxanthine	Tab4	E3	plasma	cmax		1.56	0.45					mg/l	
Harder1988	NOR	S1	D_CAF,D_NOR_A  , D_NOR_B ,  D_NOR_C , D_NOR_D	paraxanthine	Tab4	E4	plasma	thalf		3.4	1.3					h	
Harder1988	NOR	S1	D_CAF,D_NOR_A  , D_NOR_B ,  D_NOR_C , D_NOR_D	paraxanthine	Tab4	E4	plasma	auc		26.4	13.6					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	NOR	S1	D_CAF,D_NOR_A  , D_NOR_B ,  D_NOR_C , D_NOR_D	paraxanthine	Tab4	E4	plasma	tmax		6	3.2					h	
Harder1988	NOR	S1	D_CAF,D_NOR_A  , D_NOR_B ,  D_NOR_C , D_NOR_D	paraxanthine	Tab4	E4	plasma	cmax		1.5	0.39					mg/l	
Harder1988	control_PPA	S1	D_CAF	paraxanthine	Tab4	E5	plasma	thalf		2.7	1.2					h	
Harder1988	control_PPA	S1	D_CAF	paraxanthine	Tab4	E5	plasma	auc		22	6.7					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	control_PPA	S1	D_CAF	paraxanthine	Tab4	E5	plasma	tmax		4.8	2.2					h	
Harder1988	control_PPA	S1	D_CAF	paraxanthine	Tab4	E5	plasma	cmax		1.6	0.32					mg/l	
Harder1988	PPA	S1	D_CAF,D_PPA_A  , D_PPA_B ,  D_PPA_C , D_PPA_D	paraxanthine	Tab4	E6	plasma	thalf		9.6	5.3					h	
Harder1988	PPA	S1	D_CAF,D_PPA_A  , D_PPA_B ,  D_PPA_C , D_PPA_D	paraxanthine	Tab4	E6	plasma	auc		43	15.9					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	PPA	S1	D_CAF,D_PPA_A  , D_PPA_B ,  D_PPA_C , D_PPA_D	paraxanthine	Tab4	E6	plasma	tmax		14.4	5.6					h	
Harder1988	PPA	S1	D_CAF,D_PPA_A  , D_PPA_B ,  D_PPA_C , D_PPA_D	paraxanthine	Tab4	E6	plasma	cmax		1.28	0.26					mg/l	
Harder1988	control_CIP1	S1	D_CAF	paraxanthine	Tab4	E7	plasma	thalf		2.6	1.4					h	
Harder1988	control_CIP1	S1	D_CAF	paraxanthine	Tab4	E7	plasma	auc		26.6	7.5					mg/l*h	dose-normalized to 3.0 mg/kg
Harder1988	control_CIP1	S1	D_CAF	paraxanthine	Tab4	E7	plasma	tmax		5.7	2.9					h	
