	pktype	unit	tissue	interventions	substance_name	individual_pk	value	group_pk	mean	se	time	time_unit	cv	sd	min	max	median	name	route	value_intervention	unit_intervention	substance_name_intervention	time_unit_intervention	time_intervention	form	application	choice	se_intervention	min_intervention	max_intervention	('study', '')	('subject_pk', '')	('subject_name', '')	('species', 'choice')	('species', 'count')	('healthy', 'choice')	('healthy', 'count')	('age', 'count')	('age', 'cv')	('age', 'max')	('age', 'mean')	('age', 'median')	('age', 'min')	('age', 'sd')	('age', 'se')	('age', 'unit')	('age', 'value')	('sex', 'choice')	('sex', 'count')	('weight', 'count')	('weight', 'cv')	('weight', 'max')	('weight', 'mean')	('weight', 'median')	('weight', 'min')	('weight', 'sd')	('weight', 'se')	('weight', 'unit')	('weight', 'value')	('smoking', 'choice')	('smoking', 'count')	('abstinence', 'choice')	('abstinence', 'count')	('abstinence', 'min')	('abstinence', 'unit')	('abstinence', 'value')	('medication', 'choice')	('medication', 'count')	('overnight fast', 'choice')	('overnight fast', 'count')	('overnight fast', 'unit')	('overnight fast', 'value')	('oral contraceptives', 'choice')	('oral contraceptives', 'count')	('ethnicity', 'choice')	('ethnicity', 'count')	('bmi', 'count')	('bmi', 'cv')	('bmi', 'max')	('bmi', 'mean')	('bmi', 'median')	('bmi', 'min')	('bmi', 'sd')	('bmi', 'se')	('bmi', 'unit')	('disease', 'choice')	('disease', 'count')	('fasted', 'count')	('fasted', 'max')	('fasted', 'min')	('fasted', 'unit')	('fasted', 'value')	('alcohol abstinence', 'choice')	('alcohol abstinence', 'count')	('alcohol abstinence', 'unit')	('alcohol abstinence', 'value')	('smoking amount (cigarettes)', 'count')	('smoking amount (cigarettes)', 'max')	('smoking amount (cigarettes)', 'mean')	('smoking amount (cigarettes)', 'min')	('smoking amount (cigarettes)', 'sd')	('smoking amount (cigarettes)', 'se')	('smoking amount (cigarettes)', 'unit')	('smoking amount (cigarettes)', 'value')	('glucose', 'count')	('glucose', 'cv')	('glucose', 'max')	('glucose', 'mean')	('glucose', 'min')	('glucose', 'sd')	('glucose', 'se')	('glucose', 'unit')	('height', 'count')	('height', 'cv')	('height', 'max')	('height', 'mean')	('height', 'min')	('height', 'sd')	('height', 'se')	('height', 'unit')	('caffeine amount', 'count')	('caffeine amount', 'cv')	('caffeine amount', 'max')	('caffeine amount', 'mean')	('caffeine amount', 'min')	('caffeine amount', 'sd')	('caffeine amount', 'se')	('caffeine amount', 'unit')	('HbA1c', 'count')	('HbA1c', 'max')	('HbA1c', 'mean')	('HbA1c', 'min')	('HbA1c', 'se')	('HbA1c', 'unit')	('HbA1c', 'value')	('phenotype', 'choice')	('phenotype', 'count')	('disease duration', 'count')	('disease duration', 'cv')	('disease duration', 'mean')	('disease duration', 'sd')	('disease duration', 'se')	('disease duration', 'unit')	('insulin', 'count')	('insulin', 'cv')	('insulin', 'mean')	('insulin', 'sd')	('insulin', 'se')	('insulin', 'unit')	('blood pressure', 'count')	('blood pressure', 'max')	('blood pressure', 'unit')	('genetics', 'choice')	('genetics', 'count')	('caffeine', 'choice')	('caffeine', 'count')	('obesity index', 'count')	('obesity index', 'max')	('obesity index', 'mean')	('obesity index', 'min')	('obesity index', 'se')	('obesity index', 'unit')	('muscle weight', 'count')	('muscle weight', 'cv')	('muscle weight', 'mean')	('muscle weight', 'sd')	('muscle weight', 'se')	('muscle weight', 'unit')	('body surface area', 'count')	('body surface area', 'max')	('body surface area', 'mean')	('body surface area', 'min')	('body surface area', 'se')	('body surface area', 'unit')	('glucagon', 'count')	('glucagon', 'cv')	('glucagon', 'mean')	('glucagon', 'sd')	('glucagon', 'se')	('glucagon', 'unit')	('percent fat', 'count')	('percent fat', 'cv')	('percent fat', 'mean')	('percent fat', 'sd')	('percent fat', 'se')	('percent fat', 'unit')	('lean body mass', 'count')	('lean body mass', 'cv')	('lean body mass', 'mean')	('lean body mass', 'sd')	('lean body mass', 'se')	('lean body mass', 'unit')	('smoking duration (years)', 'count')	('smoking duration (years)', 'mean')	('smoking duration (years)', 'min')	('smoking duration (years)', 'unit')	('alcohol', 'choice')	('alcohol', 'count')	('metabolic ratio', 'count')	('metabolic ratio', 'max')	('metabolic ratio', 'mean')	('metabolic ratio', 'min')	('metabolic ratio', 'unit')	('medication type', 'choice')	('medication type', 'count')	('smoking amount (packyears)', 'count')	('smoking amount (packyears)', 'min')	('smoking amount (packyears)', 'unit')	('caffeine amount (beverages)', 'count')	('caffeine amount (beverages)', 'max')	('caffeine amount (beverages)', 'unit')
214	thalf	h	plasma	802	caffeine			620.0	7.88	0.49								D1	oral	162.0	mg	caffeine	h	0.0							Abernethy1985	620	OCS	homo sapiens	18	Y	18.0	18.0		30.0	26.0		23.0		1.0	yr		F	18	9.0			59.0				2.0	kg		N	18	caffeine	18		h	48.00							Y	9	('african', 'caucasian')	(1, 8)																																																																																																																																							
215	tmax	h	plasma	802	caffeine			620.0	1.52	0.26								D1	oral	162.0	mg	caffeine	h	0.0							Abernethy1985	620	OCS	homo sapiens	18	Y	18.0	18.0		30.0	26.0		23.0		1.0	yr		F	18	9.0			59.0				2.0	kg		N	18	caffeine	18		h	48.00							Y	9	('african', 'caucasian')	(1, 8)																																																																																																																																							
216	cmax	µg/ml	plasma	802	caffeine			620.0	3.99	0.27								D1	oral	162.0	mg	caffeine	h	0.0							Abernethy1985	620	OCS	homo sapiens	18	Y	18.0	18.0		30.0	26.0		23.0		1.0	yr		F	18	9.0			59.0				2.0	kg		N	18	caffeine	18		h	48.00							Y	9	('african', 'caucasian')	(1, 8)																																																																																																																																							
217	clearance	ml/min/kg	plasma	802	caffeine			621.0	1.75	0.2								D1	oral	162.0	mg	caffeine	h	0.0							Abernethy1985	621	control	homo sapiens	18	Y	18.0	18.0		30.0	26.0		23.0		1.0	yr		F	18	9.0			58.0				3.0	kg		N	18	caffeine	18		h	48.00	N	9.0					N	9	('african', 'caucasian')	(1, 8)																																																																																																																																							
218	vd	l/kg	plasma	802	caffeine			621.0	0.75	0.07								D1	oral	162.0	mg	caffeine	h	0.0							Abernethy1985	621	control	homo sapiens	18	Y	18.0	18.0		30.0	26.0		23.0		1.0	yr		F	18	9.0			58.0				3.0	kg		N	18	caffeine	18		h	48.00	N	9.0					N	9	('african', 'caucasian')	(1, 8)																																																																																																																																							
219	thalf	h	plasma	802	caffeine			621.0	5.37	0.62								D1	oral	162.0	mg	caffeine	h	0.0							Abernethy1985	621	control	homo sapiens	18	Y	18.0	18.0		30.0	26.0		23.0		1.0	yr		F	18	9.0			58.0				3.0	kg		N	18	caffeine	18		h	48.00	N	9.0					N	9	('african', 'caucasian')	(1, 8)																																																																																																																																							
220	tmax	h	plasma	802	caffeine			621.0	0.79	0.11								D1	oral	162.0	mg	caffeine	h	0.0							Abernethy1985	621	control	homo sapiens	18	Y	18.0	18.0		30.0	26.0		23.0		1.0	yr		F	18	9.0			58.0				3.0	kg		N	18	caffeine	18		h	48.00	N	9.0					N	9	('african', 'caucasian')	(1, 8)																																																																																																																																							
221	cmax	µg/ml	plasma	802	caffeine			621.0	4.09	0.24								D1	oral	162.0	mg	caffeine	h	0.0							Abernethy1985	621	control	homo sapiens	18	Y	18.0	18.0		30.0	26.0		23.0		1.0	yr		F	18	9.0			58.0				3.0	kg		N	18	caffeine	18		h	48.00	N	9.0					N	9	('african', 'caucasian')	(1, 8)																																																																																																																																							
222	clearance	ml/min/kg	plasma	812	caffeine			633.0	0.87	0.06								Dcaf	oral	4.0	mg/kg	caffeine	h	0.0							Campbell1987a	633	oc	homo sapiens	15	Y	15.0	5.0	0.15	30.0	26.4		21.0	4.03	1.8	yr		F	5	5.0	0.08	64.0	57.8		57.0	4.53	2.03	kg		N	5												Y	5	caucasian	15																																																																																																																																							
223	thalf	h	plasma	812	caffeine			633.0	9.2	0.7								Dcaf	oral	4.0	mg/kg	caffeine	h	0.0							Campbell1987a	633	oc	homo sapiens	15	Y	15.0	5.0	0.15	30.0	26.4		21.0	4.03	1.8	yr		F	5	5.0	0.08	64.0	57.8		57.0	4.53	2.03	kg		N	5												Y	5	caucasian	15																																																																																																																																							
224	kel	1/h	plasma	812	caffeine			633.0	0.94	5.0								Dcaf	oral	4.0	mg/kg	caffeine	h	0.0							Campbell1987a	633	oc	homo sapiens	15	Y	15.0	5.0	0.15	30.0	26.4		21.0	4.03	1.8	yr		F	5	5.0	0.08	64.0	57.8		57.0	4.53	2.03	kg		N	5												Y	5	caucasian	15																																																																																																																																							
225	clearance	ml/min/kg	plasma	812	caffeine			634.0	0.94	0.08								Dcaf	oral	4.0	mg/kg	caffeine	h	0.0							Campbell1987a	634	nonsmoker	homo sapiens	15	Y	15.0	5.0	0.04	26.0	25.0		24.0	0.89	0.4	yr		('M', 'F')	(1, 4)	5.0	0.1	75.0	64.0		54.0	6.66	2.98	kg		N	5												N	5	caucasian	15																																																																																																																																							
226	thalf	h	plasma	812	caffeine			634.0	6.8	0.8								Dcaf	oral	4.0	mg/kg	caffeine	h	0.0							Campbell1987a	634	nonsmoker	homo sapiens	15	Y	15.0	5.0	0.04	26.0	25.0		24.0	0.89	0.4	yr		('M', 'F')	(1, 4)	5.0	0.1	75.0	64.0		54.0	6.66	2.98	kg		N	5												N	5	caucasian	15																																																																																																																																							
227	kel	1/h	plasma	812	caffeine			634.0	0.11	0.01								Dcaf	oral	4.0	mg/kg	caffeine	h	0.0							Campbell1987a	634	nonsmoker	homo sapiens	15	Y	15.0	5.0	0.04	26.0	25.0		24.0	0.89	0.4	yr		('M', 'F')	(1, 4)	5.0	0.1	75.0	64.0		54.0	6.66	2.98	kg		N	5												N	5	caucasian	15																																																																																																																																							
228	clearance	ml/min/kg	plasma	812	caffeine			635.0	1.94	0.21								Dcaf	oral	4.0	mg/kg	caffeine	h	0.0							Campbell1987a	635	smoker	homo sapiens	15	Y	15.0	5.0	0.26	42.0	30.4		21.0	7.96	3.56	yr		('M', 'F')	(2, 13)	5.0	0.02	59.0	57.6		56.0	1.2	0.54	kg		Y	5												N	5	caucasian	15																																																																																																																																							
229	thalf	h	plasma	812	caffeine			635.0	4.0	0.6								Dcaf	oral	4.0	mg/kg	caffeine	h	0.0							Campbell1987a	635	smoker	homo sapiens	15	Y	15.0	5.0	0.26	42.0	30.4		21.0	7.96	3.56	yr		('M', 'F')	(2, 13)	5.0	0.02	59.0	57.6		56.0	1.2	0.54	kg		Y	5												N	5	caucasian	15																																																																																																																																							
230	kel	1/h	plasma	812	caffeine			635.0	0.19	0.03								Dcaf	oral	4.0	mg/kg	caffeine	h	0.0							Campbell1987a	635	smoker	homo sapiens	15	Y	15.0	5.0	0.26	42.0	30.4		21.0	7.96	3.56	yr		('M', 'F')	(2, 13)	5.0	0.02	59.0	57.6		56.0	1.2	0.54	kg		Y	5												N	5	caucasian	15																																																																																																																																							
231	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
232	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
233	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
234	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
235	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
236	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
237	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
238	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
239	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
240	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
241	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
242	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
243	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
244	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
245	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
246	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
247	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
248	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
249	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
250	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
251	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
252	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
253	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
254	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
255	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
256	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
257	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
258	kel	1/h	plasma	618	caffeine			488.0	0.15	0.02			0.36		0.08	0.26		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
259	auc_inf	µg*min/ml	plasma	618	caffeine			488.0	4142.5	549.1					1933.4	7345.7		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
260	fraction_absorbed	-	plasma	618	caffeine			488.0	1.08	0.04					0.94	1.3		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
261	tmax	h	plasma	618	caffeine			488.0	0.5	0.14			0.86		0.06	1.33		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
262	cmax	µg/ml	plasma	618	caffeine			488.0	9.9	1.1					6.9	16.1		Dcaf_oral	oral	4.94	mg/kg	caffeine	h	0.0	solution	single dose		0.03	4.84	5.17	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
263	kel	1/h	plasma	619	caffeine			488.0	0.14	0.02			0.36		0.07	0.23		Dcaf_iv	iv	4.85	mg/kg	caffeine	h	0.0	solution	single dose		0.09	4.64	5.63	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
264	kel	1/h	plasma	619	caffeine			488.0	0.14	0.02			0.36		0.07	0.23		Dcaf_iv	iv	4.85	mg/kg	caffeine	h	0.0	solution	single dose		0.09	4.64	5.63	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
265	kel	1/h	plasma	619	caffeine			488.0	0.14	0.02			0.36		0.07	0.23		Dcaf_iv	iv	4.85	mg/kg	caffeine	h	0.0	solution	single dose		0.09	4.64	5.63	Blanchard1983a	488	all	homo sapiens	10	Y	10.0	10.0		30.0	21.8		18.8		1.1	yr		M	10	10.0		106.0	79.5		64.0		3.9	kg		('Y', 'N')	(1, 9)	('caffeine', 'alcohol')	(10, 10)				N	10.0	Y	10.0			N		caucasian	10																																																																																																																																							
