study	pk	interventions	tissue	time_unit	time	substance_name	pktype	unit	figure	auc_end	group_pk	mean	kel	se	individual_pk	value	sd	cv	median	max	min
Butler1991	2050	776	plasma	min	[0.0, 30.0, 60.0, 90.0, 120.0, 180.0, 240.0, 300.0]	glucose	ra	µmol/kg/min	/media/data/Butler1991_Fig2.png	4809.450000000001	579.0	[13.62, 26.95, 27.11, 21.68, 14.47, 12.26, 10.93, 9.68]	0.003346882085071394	[2.08, 2.68, 4.17, 2.16, 2.83, 1.86, 1.79, 1.12]							
Butler1991	2051	776	plasma	min	[0.0, 30.0, 60.0, 90.0, 120.0, 180.0, 240.0, 300.0]	glucose	ra	µmol/kg/min	/media/data/Butler1991_Fig2.png	4525.35	577.0	[9.31, 23.16, 19.82, 18.48, 15.74, 13.67, 11.9, 9.98]	0.002826581858987622	[1.27, 1.71, 2.75, 1.41, 1.34, 1.19, 1.34, 1.27]							
Butler1991	2052	776	plasma	min	[0.0, 30.0, 60.0, 90.0, 120.0, 180.0, 240.0, 300.0]	glucose	rd	µmol/kg/min	/media/data/Butler1991_Fig2.png	4848.000000000001	578.0	[12.28, 12.21, 18.54, 21.71, 20.52, 16.39, 14.07, 11.3]	0.003237364008970437	[0.9, 1.51, 3.24, 2.18, 2.64, 1.73, 1.58, 0.83]							
Butler1991	2053	776	plasma	min	[0.0, 30.0, 60.0, 90.0, 120.0, 180.0, 240.0, 300.0]	glucose	rd	µmol/kg/min	/media/data/Butler1991_Fig2.png	4941.6	579.0	[12.81, 12.81, 19.37, 22.54, 20.21, 16.47, 14.52, 11.3]	0.0031168965864743397	[1.73, 1.81, 2.79, 2.11, 3.69, 1.66, 1.05, 0.9]							
Felig1969	2094	783	plasma	min	[0.0, 1.0, 3.0, 5.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 90.0, 120.0]	glucose	concentration	mg/100ml	/media/data/Felig1969_Fig1.png	14403.730000000001	583.0	[70.27, 306.9, 281.83, 265.81, 233.76, 189.85, 155.68, 131.96, 108.23, 97.04, 66.93, 57.01]	0.014222633860520546	[6.27, 18.79, 15.31, 14.62, 15.31, 18.1, 12.53, 7.66, 9.74, 11.83, 6.96, 6.26]							
Felig1969	2095	783	plasma	min	[0.0, 1.0, 3.0, 5.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 90.0, 120.0]	glucose	concentration	mg/100ml	/media/data/Felig1969_Fig1.png	16362.359999999997	584.0	[77.93, 299.94, 289.49, 252.58, 242.81, 217.69, 172.39, 157.02, 132.6, 119.31, 80.16, 66.76]	0.012688905714049974	[5.57, 30.63, 16.01, 16.01, 25.76, 15.31, 13.92, 13.22, 7.65, 10.44, 6.26, 6.26]							
Felig1969	2096	783	plasma	min	[0.0, 1.0, 3.0, 5.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 90.0, 120.0]	insulin	concentration	µU/ml	/media/data/Felig1969_Fig1.png	4202.045	583.0	[15.94, 78.68, 65.5, 55.43, 52.3, 46.03, 44.96, 43.89, 42.82, 35.86, 21.21, 15.22]	0.011388189679040414	[4.16, 14.22, 11.44, 9.02, 9.71, 6.93, 8.32, 7.63, 9.36, 4.16, 5.55, 3.12]							
Felig1969	2097	783	plasma	min	[0.0, 1.0, 3.0, 5.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 90.0, 120.0]	insulin	concentration	µU/ml	/media/data/Felig1969_Fig1.png	13476.535	584.0	[36.74, 174.03, 169.17, 172.63, 175.05, 163.92, 160.08, 156.58, 135.05, 120.11, 63.16, 32.56]	0.01690097829531279	[6.94, 35.37, 32.59, 48.54, 49.24, 49.58, 42.99, 43.0, 34.33, 31.9, 16.64, 6.59]							
Firth1986	2161	787	plasma	min	[-30.0, -20.0, -10.0, 0.0, 15.0, 30.0, 45.0, 60.0, 90.0, 120.0, 180.0, 240.0, 300.0, 360.0, 420.0]	glucose	ra	mg/kg/min	/media/data/Firth1986_Fig3.png		596.0	[None, None, None, 0.0, 1.84, 2.37, 2.45, 2.68, 2.21, 2.09, 1.89, 1.31, 0.95, 0.65, 0.55]		[None, None, None, 0.13, 0.35, 0.35, 0.35, 0.4, 0.24, 0.4, 0.19, 0.18, 0.14, 0.16, 0.11]							
Firth1986	2162	787	plasma	min	[-30.0, -20.0, -10.0, 0.0, 15.0, 30.0, 45.0, 60.0, 90.0, 120.0, 180.0, 240.0, 300.0, 360.0, 420.0]	glucose	ra	mg/kg/min	/media/data/Firth1986_Fig3.png		595.0	[None, 1.75, 1.99, 1.72, 1.92, 1.4, 1.46, 1.04, 0.83, 0.92, 0.81, 0.83, 1.2, 1.36, 1.54]	0.0006965938604158063	[None, 0.23, 0.31, 0.24, 0.18, 0.23, 0.21, 0.23, 0.18, 0.15, 0.15, 0.11, 0.23, 0.1, 0.16]							
Firth1986	2163	787	plasma	min	[-30.0, -20.0, -10.0, 0.0, 15.0, 30.0, 45.0, 60.0, 90.0, 120.0, 180.0, 240.0, 300.0, 360.0, 420.0]	glucose	ra	mg/kg/min	/media/data/Firth1986_Fig3.png		596.0	[None, 3.15, 2.95, 3.09, 2.7, 2.26, 2.48, 2.34, 1.89, 1.69, 1.56, 1.46, 1.2, 1.3, 1.54]	0.002024932160415139	[None, 0.26, 0.36, 0.41, 0.41, 0.33, 0.28, 0.28, 0.24, 0.16, 0.1, 0.21, 0.16, 0.26, 0.1]							
Firth1986	2164	787	plasma	min	[-30.0, -20.0, -10.0, 0.0, 15.0, 30.0, 45.0, 60.0, 90.0, 120.0, 180.0, 240.0, 300.0, 360.0, 420.0]	glucose	ra	mg/kg/min	/media/data/Firth1986_Fig3.png		595.0	[None, None, None, 0.001, 0.016, 0.064, 0.038, 0.06, 0.058, 0.064, 0.066, 0.085, 0.134, 0.164, 0.171]		[None, None, None, 0.013, 0.016, 0.017, 0.011, 0.022, 0.017, 0.021, 0.021, 0.02, 0.033, 0.019, 0.033]							
Firth1986	2165	787	plasma	min	[-30.0, -20.0, -10.0, 0.0, 15.0, 30.0, 45.0, 60.0, 90.0, 120.0, 180.0, 240.0, 300.0, 360.0, 420.0]	glucose	ra	mg/kg/min	/media/data/Firth1986_Fig3.png		596.0	[None, None, None, 0.0, 0.033, 0.063, 0.073, 0.106, 0.108, 0.103, 0.119, 0.135, 0.15, 0.167, 0.221]		[None, None, None, 0.009, 0.015, 0.024, 0.02, 0.02, 0.013, 0.016, 0.011, 0.021, 0.016, 0.02, 0.017]							
Firth1986	2166	787	plasma	min	[-30.0, -20.0, -10.0, 0.0, 15.0, 30.0, 45.0, 60.0, 90.0, 120.0, 180.0, 240.0, 300.0, 360.0, 420.0]	glucose	rd	mg/kg/min	/media/data/Firth1986_Fig5.png	109.4	595.0	[0.17, 0.16, 0.12, 0.09, 0.3, 0.59, 0.55, 0.33, 0.43, 0.4, 0.28, 0.2, 0.11, 0.1, 0.11]	0.004577077355547667	[0.03, 0.04, 0.04, 0.03, 0.08, 0.09, 0.11, 0.05, 0.13, 0.09, 0.1, 0.09, 0.05, 0.04, 0.05]							
Firth1986	2167	787	plasma	min	[-30.0, -20.0, -10.0, 0.0, 15.0, 30.0, 45.0, 60.0, 90.0, 120.0, 180.0, 240.0, 300.0, 360.0, 420.0]	glucose	rd	mg/kg/min	/media/data/Firth1986_Fig5.png	136.375	596.0	[0.28, 0.23, 0.31, 0.25, 0.7, 0.7, 0.68, 0.7, 0.46, 0.28, 0.28, 0.24, 0.17, 0.12, 0.15]	0.004513823547102911	[0.04, 0.04, 0.08, 0.06, 0.14, 0.13, 0.13, 0.18, 0.12, 0.09, 0.11, 0.07, 0.05, 0.03, 0.06]							
Knop2007	2215	797	plasma	min	[-15.0, -10.0, 0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 60.0, 70.0, 90.0, 120.0, 150.0, 180.0, 240.0]	glucose	concentration	mmol/l	/media/data/Knop2007_Fig1.png	1490.85	609.0	[5.47, 5.34, 5.42, 5.21, 6.08, 7.16, 7.99, 8.56, 9.02, 9.64, 9.43, 9.6, 8.89, 8.52, 7.52, 6.11, 4.86, 4.32, 4.36, 4.8]	0.004323555201481372	[0.33, 0.37, 0.37, 0.29, 0.25, 0.21, 0.33, 0.25, 0.37, 0.33, 0.37, 0.5, 0.46, 0.29, 0.5, 0.79, 0.33, 0.29, 0.33, 0.37]							
Knop2007	2216	797	plasma	min	[-15.0, -10.0, 0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 60.0, 70.0, 90.0, 120.0, 150.0, 180.0, 240.0]	glucose	concentration	mmol/l	/media/data/Knop2007_Fig1.png	2984.3250000000003	608.0	[8.63, 8.71, 8.63, 8.21, 9.17, 9.95, 10.99, 11.61, 13.1, 13.19, 14.43, 14.97, 15.22, 15.92, 16.09, 15.25, 13.17, 11.18, 9.59, 8.22]	0.004196974600590581	[0.66, 0.54, 0.58, 0.71, 0.66, 0.83, 0.54, 0.41, 0.5, 0.54, 0.58, 0.75, 0.83, 0.71, 1.08, 1.04, 1.16, 1.33, 1.12, 1.08]							
Patwardhan1980	2304	807	plasma	h	[0.29, 0.31, 0.5, 0.68, 1.21, 1.72, 2.69, 3.66, 4.63, 5.72, 7.77, 23.8, 31.84]	caffeine	concentration	µg/ml	/media/data/Patwardhan1980_Fig1.png	83.53079999999999	630.0	[3.79, 6.32, 6.83, 7.37, 6.0, 6.29, 5.09, 4.81, 4.2, 4.23, 3.76, 1.14, 0.72]	0.06989235950146608	[1.18, 0.87, 0.81, 0.97, 0.52, 0.42, 0.54, 0.44, 0.84, 0.61, 0.4, 0.13, 0.05]							
Magnusson2008	1767	736	plasma	h	[0.1, 0.5, 1.0, 2.0, 3.0, 4.0, 8.0]	paraxanthine	concentration	µg/ml	/media/data/Magnusson2008_Fig2.png				0.17916941949253484		1970.0	[0.0, 0.28, 0.39, 0.45, None, 0.43, 0.21]					
Magnusson2008	1767	737	plasma	h	[0.1, 0.5, 1.0, 2.0, 3.0, 4.0, 8.0]	paraxanthine	concentration	µg/ml	/media/data/Magnusson2008_Fig2.png				0.17916941949253484		1970.0	[0.0, 0.28, 0.39, 0.45, None, 0.43, 0.21]					
Magnusson2008	1767	738	plasma	h	[0.1, 0.5, 1.0, 2.0, 3.0, 4.0, 8.0]	paraxanthine	concentration	µg/ml	/media/data/Magnusson2008_Fig2.png				0.17916941949253484		1970.0	[0.0, 0.28, 0.39, 0.45, None, 0.43, 0.21]					
Ferrannini1979	2098	784	plasma	min	[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 17.0, 20.0, 25.0, 30.0, 38.0, 55.0, 75.0, 90.0]	glucose	concentration	mg/100ml	/media/data/Ferrannini1979_Fig1.png	12237.945000000002	585.0	[72.72, 227.06, 260.59, 253.01, 247.94, 242.89, 232.79, 223.53, 215.95, 215.92, 215.89, 209.16, 197.39, 189.81, 191.45, 187.23, 172.08, 179.54, 160.11, 142.35, 127.03, 114.0, 92.46, 81.1]	0.013120543388047383	[None, 18.46, 12.58, 7.55, 8.39, 10.9, 10.07, 5.04, 5.03, 5.88, 5.87, 4.19, 5.87, 8.39, 9.23, 9.23, 4.19, 9.23, 7.55, 9.23, 6.71, 5.03, 5.03, 4.2]							
Ferrannini1979	2099	784	plasma	min	[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 17.0, 20.0, 25.0, 30.0, 38.0, 55.0, 75.0, 90.0]	insulin	concentration	µU/ml	/media/data/Ferrannini1979_Fig1.png	1820.285	585.0	[5.63, 35.09, 55.35, 63.5, 57.43, 56.8, 45.09, 44.88, 43.2, 42.57, 40.48, 37.13, 35.87, 34.82, 36.91, 34.19, 31.25, 29.98, 23.9, 20.12, 16.95, 14.99, 8.63, 6.47]	0.024113124752289786	[None, None, 6.27, 6.48, 6.06, 7.52, 5.43, 5.43, 4.6, 6.06, 4.6, 5.01, 4.81, 3.34, 6.27, 4.18, 4.39, 3.34, 2.92, 2.3, 1.25, 1.67, 0.84, 0.63]							
Henkel2005	2168	788	plasma	min	[0.0, 30.0, 120.0, 180.0, 240.0, 360.0]	glucose	concentration	mmol/l	/media/data/Henkel2005_Fig1.png	2165.7	598.0	[5.76, 7.48, 6.68, 5.91, 5.03, 5.37]	0.0008956629744263295	[0.35, 0.42, 0.31, 0.27, 0.19, 0.27]							
Henkel2005	2169	788	plasma	min	[0.0, 30.0, 120.0, 180.0, 240.0, 360.0]	glucose	concentration	mmol/l	/media/data/Henkel2005_Fig1.png	2456.1000000000004	599.0	[6.06, 7.98, 8.98, 6.87, 5.29, 5.41]	0.001110987150613439	[0.35, 0.38, 0.42, 0.42, 0.42, 0.19]							
Henkel2005	2170	788	plasma	min	[0.0, 30.0, 120.0, 180.0, 240.0, 360.0]	glucose	concentration	mmol/l	/media/data/Henkel2005_Fig1.png	4449.299999999999	600.0	[9.67, 12.2, 15.23, 13.7, 11.78, 9.13]	0.0022359024244349665	[0.73, 0.96, 1.42, 1.65, 1.53, 1.07]							
Henkel2005	2171	788	plasma	min	[0.0, 30.0, 120.0, 180.0, 240.0, 360.0]	insulin	concentration	pmol/l	/media/data/Henkel2005_Fig1.png	89884.34999999999	598.0	[61.28, 344.89, 452.77, 322.98, 126.8, 58.72]	0.009034608009137506	[15.32, 25.53, 132.77, 142.97, 81.7, 35.74]							
Henkel2005	2172	788	plasma	min	[0.0, 30.0, 120.0, 180.0, 240.0, 360.0]	insulin	concentration	pmol/l	/media/data/Henkel2005_Fig1.png	159892.65	599.0	[89.36, 418.94, 817.87, 662.55, 292.76, 99.57]	0.010308848447113859	[22.98, 68.93, 173.61, 165.95, 48.51, 20.43]							
Henkel2005	2173	788	plasma	min	[0.0, 30.0, 120.0, 180.0, 240.0, 360.0]	insulin	concentration	pmol/l	/media/data/Henkel2005_Fig1.png	128680.80000000002	600.0	[97.02, 278.51, 521.7, 527.24, 346.38, 142.98]	0.007373597316351595	[58.72, 38.3, 61.28, 43.41, 15.31, 12.76]							
Henkel2005	2174	788	plasma	min	[0.0, 30.0, 120.0, 180.0, 240.0, 360.0]	glucagon	concentration	pmol/l	/media/data/Henkel2005_Fig1.png		598.0	[37.84, 40.43, 32.92, None, 41.97, None]		[0.59, 1.78, 1.19, None, 1.78, None]							
Henkel2005	2175	788	plasma	min	[0.0, 30.0, 120.0, 180.0, 240.0, 360.0]	glucagon	concentration	pmol/l	/media/data/Henkel2005_Fig1.png		599.0	[48.15, 53.71, 31.93, None, 49.11, None]		[0.5, 4.06, 1.98, None, 0.0, None]							
Henkel2005	2176	788	plasma	min	[0.0, 30.0, 120.0, 180.0, 240.0, 360.0]	glucagon	concentration	pmol/l	/media/data/Henkel2005_Fig1.png		600.0	[42.1, 55.89, 31.04, None, 45.94, None]		[0.59, 4.06, 0.69, None, 3.17, None]							
Knop2007	2217	797	plasma	min	[-15.0, -10.0, 0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 60.0, 70.0, 90.0, 120.0, 150.0, 180.0, 240.0]	insulin	concentration	pmol/l	/media/data/Knop2007_Fig1.png		609.0	[33.18, 34.82, 35.62, None, 107.79, None, 228.09, None, 254.62, None, 293.59, None, 312.64, 289.38, 217.15, 131.61, 51.85, 22.71, 22.61, 21.6]		[6.64, 7.47, 5.81, None, 21.58, None, 25.73, None, 31.54, None, 41.5, None, 50.63, 48.96, 42.32, 34.86, 13.28, 7.47, 8.3, 4.98]							
Knop2007	2218	797	plasma	min	[-15.0, -10.0, 0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 60.0, 70.0, 90.0, 120.0, 150.0, 180.0, 240.0]	insulin	concentration	pmol/l	/media/data/Knop2007_Fig1.png		608.0	[45.35, 46.16, 44.48, None, 46.92, None, 86.48, None, 123.56, None, 130.95, None, 137.52, 145.73, 133.33, 136.57, 94.41, 67.1, 55.47, 36.31]		[9.9, 9.07, 9.9, None, 8.25, None, 14.03, None, 24.74, None, 28.04, None, 25.57, 27.22, 27.22, 29.69, 22.27, 17.32, 14.02, 7.42]							
Knop2007	2219	797	plasma	min	[-15.0, -10.0, 0.0, 5.0, 10.0, 15.0, 20.0, 25.0, 30.0, 35.0, 40.0, 45.0, 50.0, 60.0, 70.0, 90.0, 120.0, 150.0, 180.0, 240.0]	c-peptide	concentration	pmol/l	/media/data/Knop2007_Fig1.png		609.0	[607.03, 578.32, 613.78, None, 820.65, None, 1527.52, None, 1927.26, None, 2334.12, None, 2448.16, 2855.05, 2383.33, 1989.94, 1489.17, 852.66, 723.28, 571.7]		[57.15, 85.71, 135.7, None, 100.0, None, 135.71, None, 178.59, None, 200.0, None, 228.57, 335.7, 185.7, 171.41, 128.57, 78.56, 50.03, 71.44]							
Benowitz1995	1671	612	plasma	h	[0.0, 30.0, 40.0, 60.0, 75.0, 90.0, 120.0, 180.0]	paraxanthine	concentration	mg/l	/media/data/Benowitz1995_Fig1.png	823.5	486.0	[0.0, 3.96, 4.2, 4.68, 5.15, 5.22, 5.56, 5.15]		[0.0, 0.521590972752733, 0.442218433420796, 0.362845894088858, 0.253236196916182, 0.211660104885167, 0.0793725393319377, 0.222999039075444]			[0.0, 1.38, 1.17, 0.96, 0.67, 0.56, 0.21, 0.59]	[None, 0.348484848484848, 0.278571428571429, 0.205128205128205, 0.130097087378641, 0.10727969348659, 0.0377697841726619, 0.114563106796116]			
Israelian2006	2177	789	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	glucose	concentration	mmol/l	/media/data/Israelian2006_Fig1.png	603.75	603.0	[5.45, 5.42, 3.97, 3.23, 3.17, 3.22]	0.004221544728667953	[0.11, 0.09, 0.19, 0.13, 0.12, 0.18]							
Israelian2006	2177	790	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	glucose	concentration	mmol/l	/media/data/Israelian2006_Fig1.png	603.75	603.0	[5.45, 5.42, 3.97, 3.23, 3.17, 3.22]	0.004221544728667953	[0.11, 0.09, 0.19, 0.13, 0.12, 0.18]							
Chen1991	1848	757	plasma	h	[0.25, 0.5, 0.8, 1.0, 1.3, 1.5, 2.0, 3.0, 4.0, 6.0, 8.0, 12.0]	codeine	concentration	nmol/l	/media/data/Chen1991_Fig2.png	740.5665000000001	555.0	[74.65, 131.61, 161.21, 158.73, 148.85, 138.9, 120.94, 97.23, 74.11, 48.13, 33.95, 16.01]	0.2102342138725983	[23.7234325088087, 27.6690883478296, 16.3836641200923, 10.723274336694, 10.9707617101093, 7.70392838102743, 7.19127596466719, 3.1430896423742, 4.5573032047473, 2.66932809897922, 1.22329473145273, 0.951058620695906]			[67.1, 78.26, 46.34, 30.33, 31.03, 21.79, 20.34, 8.89, 12.89, 7.55, 3.46, 2.69]	[0.898861352980576, 0.594635665982828, 0.287451150673035, 0.191079191079191, 0.208464897547867, 0.156875449964003, 0.168182569869357, 0.0914326853851692, 0.173930643637836, 0.156866819031789, 0.101914580265096, 0.168019987507808]			
Israelian2006	2178	789	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	glucose	concentration	mmol/l	/media/data/Israelian2006_Fig1.png	605.4000000000001	602.0	[5.35, 5.38, 4.01, 3.32, 3.23, 3.13]	0.002569191186643599	[0.16, 0.2, 0.16, 0.14, 0.11, 0.17]							
Israelian2006	2178	790	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	glucose	concentration	mmol/l	/media/data/Israelian2006_Fig1.png	605.4000000000001	602.0	[5.35, 5.38, 4.01, 3.32, 3.23, 3.13]	0.002569191186643599	[0.16, 0.2, 0.16, 0.14, 0.11, 0.17]							
Israelian2006	2179	789	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	insulin	concentration	pmol/l	/media/data/Israelian2006_Fig1.png	62250.600000000006	603.0	[66.59, 66.94, 568.41, 570.46, 555.46, 560.91]	-0.00032546218529902287	[22.16, 18.74, 66.47, 56.25, 64.77, 63.07]							
Israelian2006	2179	790	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	insulin	concentration	pmol/l	/media/data/Israelian2006_Fig1.png	62250.600000000006	603.0	[66.59, 66.94, 568.41, 570.46, 555.46, 560.91]	-0.00032546218529902287	[22.16, 18.74, 66.47, 56.25, 64.77, 63.07]							
Israelian2006	2180	789	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	insulin	concentration	pmol/l	/media/data/Israelian2006_Fig1.png	64398.149999999994	602.0	[136.48, 147.05, 534.32, 543.18, 582.73, 542.17]		[23.86, 35.8, 66.48, 83.52, 98.86, 92.04]							
Israelian2006	2180	790	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	insulin	concentration	pmol/l	/media/data/Israelian2006_Fig1.png	64398.149999999994	602.0	[136.48, 147.05, 534.32, 543.18, 582.73, 542.17]		[23.86, 35.8, 66.48, 83.52, 98.86, 92.04]							
Israelian2006	2181	789	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	c-peptide	concentration	pmol/l	/media/data/Israelian2006_Fig2.png	51705.450000000004	603.0	[617.65, 610.29, 360.29, 236.76, 160.29, 94.12]	0.015162173228092681	[38.24, 35.29, 29.41, 20.59, 35.29, 25.0]							
Israelian2006	2181	790	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	c-peptide	concentration	pmol/l	/media/data/Israelian2006_Fig2.png	51705.450000000004	603.0	[617.65, 610.29, 360.29, 236.76, 160.29, 94.12]	0.015162173228092681	[38.24, 35.29, 29.41, 20.59, 35.29, 25.0]							
Israelian2006	2182	789	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	c-peptide	concentration	pmol/l	/media/data/Israelian2006_Fig2.png	38558.700000000004	602.0	[410.29, 379.41, 267.65, 216.18, 161.76, 110.29]	0.009915249033503694	[86.76, 80.88, 60.29, 48.53, 38.24, 22.06]							
Israelian2006	2182	790	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	c-peptide	concentration	pmol/l	/media/data/Israelian2006_Fig2.png	38558.700000000004	602.0	[410.29, 379.41, 267.65, 216.18, 161.76, 110.29]	0.009915249033503694	[86.76, 80.88, 60.29, 48.53, 38.24, 22.06]							
Israelian2006	2183	789	plasma	min	[-30.0, 0.0, 15.0, 30.0, 45.0, 60.0, 75.0, 90.0, 105.0, 120.0]	insulin	rate_secretion	pmol/kg/min	/media/data/Israelian2006_Fig2.png	98.25	603.0	[1.66, 1.6, 0.96, 0.58, 0.29, 0.19, 0.13, 0.14, 0.13, 0.14]	0.021541978087644922	[0.1, 0.08, 0.1, 0.14, 0.08, 0.05, 0.05, 0.04, 0.05, 0.04]							
Israelian2006	2183	790	plasma	min	[-30.0, 0.0, 15.0, 30.0, 45.0, 60.0, 75.0, 90.0, 105.0, 120.0]	insulin	rate_secretion	pmol/kg/min	/media/data/Israelian2006_Fig2.png	98.25	603.0	[1.66, 1.6, 0.96, 0.58, 0.29, 0.19, 0.13, 0.14, 0.13, 0.14]	0.021541978087644922	[0.1, 0.08, 0.1, 0.14, 0.08, 0.05, 0.05, 0.04, 0.05, 0.04]							
Israelian2006	2184	789	plasma	min	[-30.0, 0.0, 15.0, 30.0, 45.0, 60.0, 75.0, 90.0, 105.0, 120.0]	insulin	rate_secretion	pmol/kg/min	/media/data/Israelian2006_Fig2.png	74.24999999999999	602.0	[0.96, 0.92, 0.71, 0.58, 0.37, 0.29, 0.23, 0.19, 0.15, 0.18]	0.015441097848782058	[0.18, 0.17, 0.15, 0.13, 0.11, 0.07, 0.07, 0.06, 0.05, 0.06]							
Israelian2006	2184	790	plasma	min	[-30.0, 0.0, 15.0, 30.0, 45.0, 60.0, 75.0, 90.0, 105.0, 120.0]	insulin	rate_secretion	pmol/kg/min	/media/data/Israelian2006_Fig2.png	74.24999999999999	602.0	[0.96, 0.92, 0.71, 0.58, 0.37, 0.29, 0.23, 0.19, 0.15, 0.18]	0.015441097848782058	[0.18, 0.17, 0.15, 0.13, 0.11, 0.07, 0.07, 0.06, 0.05, 0.06]							
Israelian2006	2185	789	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	glucagon	concentration	pg/ml	/media/data/Israelian2006_Fig3.png	15221.55	603.0	[81.55, 78.57, 82.31, 109.52, 126.22, 139.98]		[3.28, 3.77, 3.61, 7.06, 8.04, 8.86]							
Israelian2006	2185	790	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	glucagon	concentration	pg/ml	/media/data/Israelian2006_Fig3.png	15221.55	603.0	[81.55, 78.57, 82.31, 109.52, 126.22, 139.98]		[3.28, 3.77, 3.61, 7.06, 8.04, 8.86]							
Israelian2006	2186	789	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	glucagon	concentration	pg/ml	/media/data/Israelian2006_Fig3.png	14332.800000000001	602.0	[84.67, 86.44, 80.67, 97.87, 112.93, 115.03]		[4.92, 4.6, 5.58, 7.39, 10.67, 10.83]							
Israelian2006	2186	790	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	glucagon	concentration	pg/ml	/media/data/Israelian2006_Fig3.png	14332.800000000001	602.0	[84.67, 86.44, 80.67, 97.87, 112.93, 115.03]		[4.92, 4.6, 5.58, 7.39, 10.67, 10.83]							
Israelian2006	2187	789	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	growth hormone	concentration	µg/l	/media/data/Israelian2006_Fig3.png	534.3	603.0	[1.02, 1.02, 1.68, 3.49, 7.47, 7.28]		[0.12, 0.16, 0.51, 0.85, 1.16, 1.0]							
Israelian2006	2187	790	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	growth hormone	concentration	µg/l	/media/data/Israelian2006_Fig3.png	534.3	603.0	[1.02, 1.02, 1.68, 3.49, 7.47, 7.28]		[0.12, 0.16, 0.51, 0.85, 1.16, 1.0]							
Israelian2006	2188	789	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	growth hormone	concentration	µg/l	/media/data/Israelian2006_Fig3.png	450.0	602.0	[1.57, 1.88, 2.0, 3.55, 4.65, 4.27]		[0.22, 0.33, 0.35, 0.41, 1.2, 0.67]							
Israelian2006	2188	790	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	growth hormone	concentration	µg/l	/media/data/Israelian2006_Fig3.png	450.0	602.0	[1.57, 1.88, 2.0, 3.55, 4.65, 4.27]		[0.22, 0.33, 0.35, 0.41, 1.2, 0.67]							
Israelian2006	2189	789	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	epinephrine	concentration	fmol/l	/media/data/Israelian2006_Fig3.png	112.2	603.0	[0.12, 0.1, 0.21, 1.13, 1.41, 1.66]		[0.06, 0.05, 0.05, 0.29, 0.28, 0.29]							
Israelian2006	2189	790	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	epinephrine	concentration	fmol/l	/media/data/Israelian2006_Fig3.png	112.2	603.0	[0.12, 0.1, 0.21, 1.13, 1.41, 1.66]		[0.06, 0.05, 0.05, 0.29, 0.28, 0.29]							
Israelian2006	2190	789	plasma	min	[-30.0, 0.0, 30.0, 60.0, 90.0, 120.0]	epinephrine	concentration	fmol/l	/media/data/Israelian2006_Fig3.png	124.95	602.0	[0.21, 0.21, 0.43, 0.9, 1.62, 1.8]		[0.06, 0.07, 0.18, 0.19, 0.29, 0.29]							
