study	pk	pktype	unit	tissue	interventions	substance_name	individual_pk	value	group_pk	mean	se	cv	sd	time_unit	time	max	min	median
Harder1988	8190	tmax	h	plasma	316	paraxanthine			164.0	5.15e+00	4.47e-01	3.01e-01	1.55e+00					
Harder1988	8188	auc_inf	mg*h/l	plasma	316	paraxanthine			164.0	2.26e+01	2.83e+00	4.34e-01	9.80e+00					
Harder1988	8186	thalf	h	plasma	316	paraxanthine			164.0	2.70e+00	3.18e-01	4.07e-01	1.10e+00					
Harder1988	8184	cmax	µg/ml	plasma	316	paraxanthine			164.0	1.57e+00	8.66e-02	1.91e-01	3.00e-01					
Harder1988	8182	tmax	h	plasma	316	paraxanthine			164.0	5.30e+00	7.51e-01	4.91e-01	2.60e+00					
Harder1988	8180	auc_inf	mg*h/l	plasma	316	paraxanthine			164.0	2.19e+01	1.67e+00	2.65e-01	5.80e+00					
Harder1988	8178	thalf	h	plasma	316	paraxanthine			164.0	3.10e+00	4.04e-01	4.52e-01	1.40e+00					
Harder1988	8176	cmax	µg/ml	plasma	316	paraxanthine			164.0	1.57e+00	7.79e-02	1.72e-01	2.70e-01					
Harder1988	8174	tmax	h	plasma	316	paraxanthine			164.0	5.50e+00	7.51e-01	4.73e-01	2.60e+00					
Harder1988	8172	auc_inf	mg*h/l	plasma	316	paraxanthine			164.0	2.27e+01	2.45e+00	3.74e-01	8.50e+00					
Harder1988	8170	thalf	h	plasma	316	paraxanthine			164.0	2.60e+00	3.46e-01	4.62e-01	1.20e+00					
Harder1988	8168	cmax	µg/ml	plasma	316	paraxanthine			164.0	1.38e+00	1.01e-01	2.54e-01	3.50e-01					
Harder1988	8166	tmax	h	plasma	316	paraxanthine			164.0	4.30e+00	4.04e-01	3.26e-01	1.40e+00					
Harder1988	8164	auc_inf	mg*h/l	plasma	316	paraxanthine			164.0	2.02e+01	2.40e+00	4.11e-01	8.30e+00					
Harder1988	8162	thalf	h	plasma	316	paraxanthine			164.0	2.60e+00	2.60e-01	3.46e-01	9.00e-01					
Harder1988	8160	cmax	µg/ml	plasma	316	paraxanthine			164.0	1.15e+00	5.48e-02	1.65e-01	1.90e-01					
Harder1988	8158	tmax	h	plasma	316	paraxanthine			164.0	5.30e+00	8.37e-01	5.47e-01	2.90e+00					
Harder1988	8156	auc_inf	mg*h/l	plasma	316	paraxanthine			164.0	1.85e+01	2.25e+00	4.22e-01	7.80e+00					
Harder1988	8154	thalf	h	plasma	316	paraxanthine			164.0	3.00e+00	2.89e-01	3.33e-01	1.00e+00					
Harder1988	8152	cmax	µg/ml	plasma	316	paraxanthine			164.0	1.57e+00	9.53e-02	2.10e-01	3.30e-01					
Harder1988	8150	tmax	h	plasma	316	paraxanthine			164.0	5.70e+00	8.37e-01	5.09e-01	2.90e+00					
Harder1988	8148	auc_inf	mg*h/l	plasma	316	paraxanthine			164.0	2.66e+01	2.17e+00	2.82e-01	7.50e+00					
Harder1988	8146	thalf	h	plasma	316	paraxanthine			164.0	2.60e+00	4.04e-01	5.38e-01	1.40e+00					
Harder1988	8144	cmax	µg/ml	plasma	316	paraxanthine			164.0	1.60e+00	9.24e-02	2.00e-01	3.20e-01					
Harder1988	8142	tmax	h	plasma	316	paraxanthine			164.0	4.80e+00	6.35e-01	4.58e-01	2.20e+00					
Harder1988	8140	auc_inf	mg*h/l	plasma	316	paraxanthine			164.0	2.20e+01	1.93e+00	3.05e-01	6.70e+00					
Harder1988	8138	thalf	h	plasma	316	paraxanthine			164.0	2.70e+00	3.46e-01	4.44e-01	1.20e+00					
Harder1988	8136	cmax	µg/ml	plasma	316	paraxanthine			164.0	1.56e+00	1.30e-01	2.88e-01	4.50e-01					
Harder1988	8134	tmax	h	plasma	316	paraxanthine			164.0	4.70e+00	6.06e-01	4.47e-01	2.10e+00					
Harder1988	8132	auc_inf	mg*h/l	plasma	316	paraxanthine			164.0	2.38e+01	2.60e+00	3.78e-01	9.00e+00					
Harder1988	8130	thalf	h	plasma	316	paraxanthine			164.0	2.80e+00	3.75e-01	4.64e-01	1.30e+00					
Harder1988	8128	cmax	µg/ml	plasma	316	paraxanthine			164.0	1.17e+00	6.35e-02	1.88e-01	2.20e-01					
Harder1988	8126	tmax	h	plasma	316	paraxanthine			164.0	5.70e+00	5.46e-01	3.32e-01	1.89e+00					
Harder1988	8124	auc_inf	mg*h/l	plasma	316	paraxanthine			164.0	1.60e+01	1.50e+00	3.25e-01	5.20e+00					
Harder1988	8122	thalf	h	plasma	316	paraxanthine			164.0	3.00e+00	3.46e-01	4.00e-01	1.20e+00					
Harder1988	8120	clearance	l/h/kg	plasma	316	caffeine			164.0	1.49e-01	1.96e-02	4.56e-01	6.80e-02					
Harder1988	8118	clearance	l/h/kg	plasma	316	caffeine			164.0	1.57e-01	1.73e-02	3.82e-01	6.00e-02					
Harder1988	8116	clearance	l/h/kg	plasma	316	caffeine			164.0	1.74e-01	2.11e-02	4.20e-01	7.30e-02					
Harder1988	8114	clearance	l/h/kg	plasma	316	caffeine			164.0	1.70e-01	2.40e-02	4.88e-01	8.30e-02					
Harder1988	8112	clearance	l/h/kg	plasma	316	caffeine			164.0	1.43e-01	1.56e-02	3.78e-01	5.40e-02					
Harder1988	8110	clearance	l/h/kg	plasma	316	caffeine			164.0	1.68e-01	2.63e-02	5.42e-01	9.10e-02					
Harder1988	8108	clearance	l/h/kg	plasma	316	caffeine			164.0	1.59e-01	1.76e-02	3.84e-01	6.10e-02					
Harder1988	8106	clearance	l/h/kg	plasma	316	caffeine			164.0	1.66e-01	1.96e-02	4.10e-01	6.80e-02					
Harder1988	8104	cmax	µg/ml	plasma	316	caffeine			164.0	3.90e+00	2.02e-01	1.79e-01	7.00e-01					
Harder1988	8102	tmax	h	plasma	316	caffeine			164.0	7.00e-01	8.66e-02	4.29e-01	3.00e-01					
Harder1988	8100	auc_inf	mg*h/l	plasma	316	caffeine			164.0	2.26e+01	2.83e+00	4.34e-01	9.80e+00					
Harder1988	8098	thalf	h	plasma	316	caffeine			164.0	3.30e+00	3.75e-01	3.94e-01	1.30e+00					
Harder1988	8096	cmax	µg/ml	plasma	316	caffeine			164.0	4.27e+00	1.79e-01	1.45e-01	6.20e-01					
Harder1988	8094	tmax	h	plasma	316	caffeine			164.0	1.00e+00	1.44e-01	5.00e-01	5.00e-01					
Harder1988	8092	auc_inf	mg*h/l	plasma	316	caffeine			164.0	2.18e+01	2.51e+00	3.99e-01	8.70e+00					
Harder1988	8090	thalf	h	plasma	316	caffeine			164.0	3.40e+00	3.46e-01	3.53e-01	1.20e+00					
Harder1988	8088	cmax	µg/ml	plasma	316	caffeine			164.0	3.99e+00	2.31e-01	2.01e-01	8.00e-01					
Harder1988	8086	tmax	h	plasma	316	caffeine			164.0	8.00e-01	8.66e-02	3.75e-01	3.00e-01					
Harder1988	8084	auc_inf	mg*h/l	plasma	316	caffeine			164.0	2.00e+01	2.25e+00	3.90e-01	7.80e+00					
Harder1988	8082	thalf	h	plasma	316	caffeine			164.0	3.00e+00	3.18e-01	3.67e-01	1.10e+00					
Harder1988	8080	cmax	µg/ml	plasma	316	caffeine			164.0	3.91e+00	3.06e-01	2.71e-01	1.06e+00					
Harder1988	8078	tmax	h	plasma	316	caffeine			164.0	9.00e-01	1.15e-01	4.44e-01	4.00e-01					
Harder1988	8076	auc_inf	mg*h/l	plasma	316	caffeine			164.0	2.04e+01	1.96e+00	3.33e-01	6.80e+00					
Harder1988	8074	thalf	h	plasma	316	caffeine			164.0	3.40e+00	2.89e-01	2.94e-01	1.00e+00					
Harder1988	8072	cmax	µg/ml	plasma	316	caffeine			164.0	4.49e+00	3.72e-01	2.87e-01	1.29e+00					
Harder1988	8070	tmax	h	plasma	316	caffeine			164.0	7.10e-01	7.51e-02	3.66e-01	2.60e-01					
Harder1988	8068	auc_inf	mg*h/l	plasma	316	caffeine			164.0	2.24e+01	2.17e+00	3.35e-01	7.50e+00					
Harder1988	8066	thalf	h	plasma	316	caffeine			164.0	3.40e+00	2.60e-01	2.65e-01	9.00e-01					
Harder1988	8064	cmax	µg/ml	plasma	316	caffeine			164.0	3.94e+00	1.73e-01	1.52e-01	6.00e-01					
Harder1988	8062	tmax	h	plasma	316	caffeine			164.0	1.00e+00	1.44e-01	5.00e-01	5.00e-01					
Harder1988	8060	auc_inf	mg*h/l	plasma	316	caffeine			164.0	2.14e+01	2.66e+00	4.30e-01	9.20e+00					
Harder1988	8058	thalf	h	plasma	316	caffeine			164.0	3.40e+00	3.46e-01	3.53e-01	1.20e+00					
Harder1988	8056	cmax	µg/ml	plasma	316	caffeine			164.0	3.86e+00	1.59e-01	1.42e-01	5.50e-01					
Harder1988	8054	tmax	h	plasma	316	caffeine			164.0	1.10e+00	1.73e-01	5.45e-01	6.00e-01					
Harder1988	8052	auc_inf	mg*h/l	plasma	316	caffeine			164.0	2.18e+01	2.51e+00	3.99e-01	8.70e+00					
Harder1988	8050	thalf	h	plasma	316	caffeine			164.0	3.30e+00	3.18e-01	3.33e-01	1.10e+00					
Harder1988	8048	cmax	µg/ml	plasma	316	caffeine			164.0	4.33e+00	2.28e-01	1.82e-01	7.90e-01					
Harder1988	8046	tmax	h	plasma	316	caffeine			164.0	6.00e-01	5.77e-02	3.33e-01	2.00e-01					
Harder1988	8044	auc_inf	mg*h/l	plasma	316	caffeine			164.0	2.14e+01	2.83e+00	4.58e-01	9.80e+00					
Harder1988	8042	thalf	h	plasma	316	caffeine			164.0	3.20e+00	3.18e-01	3.44e-01	1.10e+00					
Harder1988	8040	cmax	µg/ml	plasma	316	caffeine			164.0	4.09e+00	2.48e-01	2.10e-01	8.60e-01					
Harder1988	8038	tmax	h	plasma	316	caffeine			164.0	8.30e-01	1.27e-01	5.30e-01	4.40e-01					
Harder1988	8036	auc_inf	mg*h/l	plasma	316	caffeine			164.0	2.06e+01	2.42e+00	4.08e-01	8.40e+00					
Harder1988	8034	thalf	h	plasma	316	caffeine			164.0	2.90e+00	2.02e-01	2.41e-01	7.00e-01					
Fuhr1993a	7606	vd	l/kg	plasma	294	caffeine			153.0	5.50e-01	1.22e-02	5.45e-02	3.00e-02			6.10e-01	5.10e-01	
Fuhr1993a	7604	thalf	h	plasma	294	caffeine			153.0	5.83e+00	4.65e-01	1.96e-01	1.14e+00			7.90e+00	4.40e+00	
Fuhr1993a	7602	clearance	l/h	plasma	294	caffeine			153.0	4.75e+00	6.22e-01	3.21e-01	1.52e+00			7.02e+00	2.52e+00	
Fuhr1993a	7600	auc_inf	µmol*h/l	plasma	294	caffeine			153.0	1.98e+02	2.94e+01	3.64e-01	7.21e+01			3.32e+02	1.22e+02	
Fuhr1993a	7598	vd	l/kg	plasma	294	caffeine			152.0	5.80e-01	5.72e-02	2.41e-01	1.40e-01			7.80e-01	4.30e-01	
Fuhr1993a	7596	thalf	h	plasma	294	caffeine			152.0	3.10e+00	3.84e-01	3.03e-01	9.40e-01			4.70e+00	1.80e+00	
Fuhr1993a	7594	clearance	l/h	plasma	294	caffeine			152.0	9.13e+00	1.10e+00	2.96e-01	2.70e+00			1.49e+01	6.42e+00	
Fuhr1993a	7592	auc_inf	µmol*h/l	plasma	294	caffeine			152.0	9.58e+01	8.34e+00	2.13e-01	2.04e+01			1.09e+02	5.10e+01	
Fuhr1993a	7447	auc_inf	mg*h/l	plasma	294	caffeine	710.0	3.32e+02										
Fuhr1993a	7448	auc_inf	mg*h/l	plasma	294	caffeine	711.0	1.09e+02										
Fuhr1993a	7449	auc_inf	mg*h/l	plasma	294	caffeine	712.0	1.22e+02										
Fuhr1993a	7450	auc_inf	mg*h/l	plasma	294	caffeine	713.0	1.05e+02										
Fuhr1993a	7451	auc_inf	mg*h/l	plasma	294	caffeine	714.0	1.48e+02										
Fuhr1993a	7452	auc_inf	mg*h/l	plasma	294	caffeine	715.0	1.71e+02										
Fuhr1993a	7453	auc_inf	mg*h/l	plasma	294	caffeine	716.0	1.08e+02										
Fuhr1993a	7454	auc_inf	mg*h/l	plasma	294	caffeine	717.0	2.52e+02										
Fuhr1993a	7455	auc_inf	mg*h/l	plasma	294	caffeine	718.0	9.70e+01										
Fuhr1993a	7456	auc_inf	mg*h/l	plasma	294	caffeine	719.0	1.05e+02										
Fuhr1993a	7457	auc_inf	mg*h/l	plasma	294	caffeine	720.0	5.10e+01										
Fuhr1993a	7458	auc_inf	mg*h/l	plasma	294	caffeine	721.0	1.62e+02										
Fuhr1993a	7459	clearance	l/h	plasma	294	caffeine	710.0	2.52e+00										
Fuhr1993a	7460	clearance	l/h	plasma	294	caffeine	711.0	7.80e+00										
Fuhr1993a	7461	clearance	l/h	plasma	294	caffeine	712.0	7.02e+00										
Fuhr1993a	7462	clearance	l/h	plasma	294	caffeine	713.0	7.98e+00										
Fuhr1993a	7463	clearance	l/h	plasma	294	caffeine	714.0	5.88e+00										
Fuhr1993a	7464	clearance	l/h	plasma	294	caffeine	715.0	4.44e+00										
Fuhr1993a	7465	clearance	l/h	plasma	294	caffeine	716.0	6.42e+00										
Fuhr1993a	7466	clearance	l/h	plasma	294	caffeine	717.0	3.30e+00										
Fuhr1993a	7467	clearance	l/h	plasma	294	caffeine	718.0	9.06e+00										
Fuhr1993a	7468	clearance	l/h	plasma	294	caffeine	719.0	8.64e+00										
Fuhr1993a	7469	clearance	l/h	plasma	294	caffeine	720.0	1.49e+01										
Fuhr1993a	7470	clearance	l/h	plasma	294	caffeine	721.0	5.34e+00										
Fuhr1993a	7471	thalf	h	plasma	294	caffeine	710.0	7.90e+00										
Fuhr1993a	7472	thalf	h	plasma	294	caffeine	711.0	2.60e+00										
Fuhr1993a	7473	thalf	h	plasma	294	caffeine	712.0	5.70e+00										
Fuhr1993a	7474	thalf	h	plasma	294	caffeine	713.0	3.90e+00										
Fuhr1993a	7475	thalf	h	plasma	294	caffeine	714.0	5.80e+00										
Fuhr1993a	7476	thalf	h	plasma	294	caffeine	715.0	4.80e+00										
Fuhr1993a	7477	thalf	h	plasma	294	caffeine	716.0	1.80e+00										
Fuhr1993a	7478	thalf	h	plasma	294	caffeine	717.0	6.40e+00										
Fuhr1993a	7479	thalf	h	plasma	294	caffeine	718.0	2.90e+00										
Fuhr1993a	7480	thalf	h	plasma	294	caffeine	719.0	4.70e+00										
Fuhr1993a	7481	thalf	h	plasma	294	caffeine	720.0	2.70e+00										
Fuhr1993a	7482	thalf	h	plasma	294	caffeine	721.0	4.40e+00										
Fuhr1993a	7483	vd	l/kg	plasma	294	caffeine	710.0	5.30e-01										
Fuhr1993a	7484	vd	l/kg	plasma	294	caffeine	711.0	5.00e-01										
Fuhr1993a	7485	vd	l/kg	plasma	294	caffeine	712.0	5.60e-01										
Fuhr1993a	7486	vd	l/kg	plasma	294	caffeine	713.0	5.50e-01										
Fuhr1993a	7487	vd	l/kg	plasma	294	caffeine	714.0	6.10e-01										
Fuhr1993a	7488	vd	l/kg	plasma	294	caffeine	715.0	5.10e-01										
Fuhr1993a	7489	vd	l/kg	plasma	294	caffeine	716.0	4.30e-01										
Fuhr1993a	7490	vd	l/kg	plasma	294	caffeine	717.0	5.30e-01										
Fuhr1993a	7491	vd	l/kg	plasma	294	caffeine	718.0	4.90e-01										
Fuhr1993a	7492	vd	l/kg	plasma	294	caffeine	719.0	7.80e-01										
Fuhr1993a	7493	vd	l/kg	plasma	294	caffeine	720.0	7.60e-01										
Fuhr1993a	7494	vd	l/kg	plasma	294	caffeine	721.0	5.60e-01										
Granfors2005	7924	ratio	-	plasma	312	caffeine/paraxanthine			162.0	4.60e+00	6.61e-01	5.57e-01	2.56e+00	h	6.0			
Granfors2005	7922	ratio	-	plasma	312	caffeine/paraxanthine			161.0	1.62e+00	1.83e-01	4.38e-01	7.10e-01	h	6.0			
Granfors2005	7891	ratio	-	plasma	312	caffeine/paraxanthine	768.0	1.81e+00						h	6.0			
Granfors2005	7892	ratio	-	plasma	312	caffeine/paraxanthine	769.0	3.10e+00						h	6.0			
Granfors2005	7893	ratio	-	plasma	312	caffeine/paraxanthine	770.0	2.62e+00						h	6.0			
Granfors2005	7894	ratio	-	plasma	312	caffeine/paraxanthine	771.0	2.69e+00						h	6.0			
Granfors2005	7895	ratio	-	plasma	312	caffeine/paraxanthine	772.0	2.42e+00						h	6.0			
Granfors2005	7896	ratio	-	plasma	312	caffeine/paraxanthine	773.0	3.16e+00						h	6.0			
Granfors2005	7897	ratio	-	plasma	312	caffeine/paraxanthine	774.0	3.29e+00						h	6.0			
Granfors2005	7898	ratio	-	plasma	312	caffeine/paraxanthine	775.0	4.20e+00						h	6.0			
Granfors2005	7899	ratio	-	plasma	312	caffeine/paraxanthine	776.0	4.24e+00						h	6.0			
Granfors2005	7900	ratio	-	plasma	312	caffeine/paraxanthine	777.0	4.21e+00						h	6.0			
Granfors2005	7901	ratio	-	plasma	312	caffeine/paraxanthine	778.0	4.95e+00						h	6.0			
Granfors2005	7902	ratio	-	plasma	312	caffeine/paraxanthine	779.0	5.98e+00						h	6.0			
Granfors2005	7903	ratio	-	plasma	312	caffeine/paraxanthine	780.0	5.78e+00						h	6.0			
Granfors2005	7904	ratio	-	plasma	312	caffeine/paraxanthine	781.0	9.04e+00						h	6.0			
Granfors2005	7905	ratio	-	plasma	312	caffeine/paraxanthine	782.0	1.11e+01						h	6.0			
Granfors2005	7906	ratio	-	plasma	312	paraxanthine/caffeine	768.0	5.50e-01						h	6.0			
Granfors2005	7907	ratio	-	plasma	312	paraxanthine/caffeine	769.0	3.20e-01						h	6.0			
Granfors2005	7908	ratio	-	plasma	312	paraxanthine/caffeine	770.0	3.80e-01						h	6.0			
Granfors2005	7909	ratio	-	plasma	312	paraxanthine/caffeine	771.0	3.70e-01						h	6.0			
Granfors2005	7910	ratio	-	plasma	312	paraxanthine/caffeine	772.0	4.10e-01						h	6.0			
Granfors2005	7911	ratio	-	plasma	312	paraxanthine/caffeine	773.0	3.20e-01						h	6.0			
Granfors2005	7912	ratio	-	plasma	312	paraxanthine/caffeine	774.0	3.00e-01						h	6.0			
Granfors2005	7913	ratio	-	plasma	312	paraxanthine/caffeine	775.0	2.40e-01						h	6.0			
Granfors2005	7914	ratio	-	plasma	312	paraxanthine/caffeine	776.0	2.40e-01						h	6.0			
Granfors2005	7915	ratio	-	plasma	312	paraxanthine/caffeine	777.0	2.40e-01						h	6.0			
Granfors2005	7916	ratio	-	plasma	312	paraxanthine/caffeine	778.0	2.00e-01						h	6.0			
Granfors2005	7917	ratio	-	plasma	312	paraxanthine/caffeine	779.0	1.70e-01						h	6.0			
Granfors2005	7918	ratio	-	plasma	312	paraxanthine/caffeine	780.0	1.70e-01						h	6.0			
Granfors2005	7919	ratio	-	plasma	312	paraxanthine/caffeine	781.0	1.10e-01						h	6.0			
Granfors2005	7920	ratio	-	plasma	312	paraxanthine/caffeine	782.0	9.00e-02						h	6.0			
Granfors2005	7831	ratio	-	plasma	312	caffeine/paraxanthine	753.0	7.30e-01						h	6.0			
Granfors2005	7832	ratio	-	plasma	312	caffeine/paraxanthine	754.0	8.00e-01						h	6.0			
Granfors2005	7833	ratio	-	plasma	312	caffeine/paraxanthine	755.0	1.01e+00						h	6.0			
Granfors2005	7834	ratio	-	plasma	312	caffeine/paraxanthine	756.0	1.32e+00						h	6.0			
Granfors2005	7835	ratio	-	plasma	312	caffeine/paraxanthine	757.0	1.08e+00						h	6.0			
Granfors2005	7836	ratio	-	plasma	312	caffeine/paraxanthine	758.0	1.18e+00						h	6.0			
Granfors2005	7837	ratio	-	plasma	312	caffeine/paraxanthine	759.0	8.30e-01						h	6.0			
Granfors2005	7838	ratio	-	plasma	312	caffeine/paraxanthine	760.0	1.38e+00						h	6.0			
Granfors2005	7839	ratio	-	plasma	312	caffeine/paraxanthine	761.0	1.68e+00						h	6.0			
Granfors2005	7840	ratio	-	plasma	312	caffeine/paraxanthine	762.0	1.58e+00						h	6.0			
Granfors2005	7841	ratio	-	plasma	312	caffeine/paraxanthine	763.0	2.39e+00						h	6.0			
Granfors2005	7842	ratio	-	plasma	312	caffeine/paraxanthine	764.0	2.56e+00						h	6.0			
Granfors2005	7843	ratio	-	plasma	312	caffeine/paraxanthine	765.0	2.31e+00						h	6.0			
Granfors2005	7844	ratio	-	plasma	312	caffeine/paraxanthine	766.0	2.16e+00						h	6.0			
Granfors2005	7845	ratio	-	plasma	312	caffeine/paraxanthine	767.0	2.93e+00						h	6.0			
Granfors2005	7846	ratio	-	plasma	312	paraxanthine/caffeine	753.0	1.38e+00						h	6.0			
Granfors2005	7847	ratio	-	plasma	312	paraxanthine/caffeine	754.0	1.25e+00						h	6.0			
Granfors2005	7848	ratio	-	plasma	312	paraxanthine/caffeine	755.0	9.90e-01						h	6.0			
Granfors2005	7849	ratio	-	plasma	312	paraxanthine/caffeine	756.0	7.60e-01						h	6.0			
Granfors2005	7850	ratio	-	plasma	312	paraxanthine/caffeine	757.0	9.20e-01						h	6.0			
Granfors2005	7851	ratio	-	plasma	312	paraxanthine/caffeine	758.0	8.50e-01						h	6.0			
Granfors2005	7852	ratio	-	plasma	312	paraxanthine/caffeine	759.0	1.21e+00						h	6.0			
Granfors2005	7853	ratio	-	plasma	312	paraxanthine/caffeine	760.0	7.20e-01						h	6.0			
Granfors2005	7854	ratio	-	plasma	312	paraxanthine/caffeine	761.0	6.00e-01						h	6.0			
Granfors2005	7855	ratio	-	plasma	312	paraxanthine/caffeine	762.0	6.30e-01						h	6.0			
Granfors2005	7856	ratio	-	plasma	312	paraxanthine/caffeine	763.0	4.20e-01						h	6.0			
Granfors2005	7857	ratio	-	plasma	312	paraxanthine/caffeine	764.0	3.90e-01						h	6.0			
Granfors2005	7858	ratio	-	plasma	312	paraxanthine/caffeine	765.0	4.30e-01						h	6.0			
Granfors2005	7859	ratio	-	plasma	312	paraxanthine/caffeine	766.0	4.60e-01						h	6.0			
Granfors2005	7860	ratio	-	plasma	312	paraxanthine/caffeine	767.0	3.40e-01						h	6.0			
George1986	7695	thalf	h	plasma	298	caffeine	722.0	5.15e+00										
George1986	7696	thalf	h	plasma	298	caffeine	723.0	4.89e+00										
George1986	7697	thalf	h	plasma	298	caffeine	724.0	4.69e+00										
George1986	7698	thalf	h	plasma	298	caffeine	725.0	4.26e+00										
George1986	7699	thalf	h	plasma	298	caffeine	726.0	3.63e+00										
George1986	7700	thalf	h	plasma	298	caffeine	727.0	3.28e+00										
George1986	7701	thalf	h	plasma	298	caffeine	728.0	2.93e+00										
George1986	7702	thalf	h	plasma	298	caffeine	729.0	2.51e+00										
George1986	7703	thalf	h	plasma	298	caffeine	730.0	2.40e+00										
George1986	7704	thalf	h	plasma	298	caffeine	731.0	2.30e+00										
George1986	7705	thalf	h	plasma	298	caffeine	732.0	9.10e+00										
George1986	7706	thalf	h	plasma	298	caffeine	733.0	9.83e+00										
George1986	7707	thalf	h	plasma	298	caffeine	734.0	6.88e+00										
George1986	7708	thalf	h	plasma	298	caffeine	735.0	5.88e+00										
George1986	7709	thalf	h	plasma	298	caffeine	736.0	7.31e+00										
George1986	7710	thalf	h	plasma	298	caffeine	737.0	5.87e+00										
George1986	7711	thalf	h	plasma	298	caffeine	738.0	5.54e+00										
George1986	7712	thalf	h	plasma	298	caffeine	739.0	5.49e+00										
George1986	7713	thalf	h	plasma	298	caffeine	740.0	3.54e+00										
George1986	7714	thalf	h	plasma	298	caffeine	741.0	3.12e+00										
George1986	7715	clearance	l/h/kg	plasma	298	caffeine	722.0	8.01e-02										
George1986	7716	clearance	l/h/kg	plasma	298	caffeine	723.0	1.10e-01										
George1986	7717	clearance	l/h/kg	plasma	298	caffeine	724.0	1.26e-01										
George1986	7718	clearance	l/h/kg	plasma	298	caffeine	725.0	1.36e-01										
George1986	7719	clearance	l/h/kg	plasma	298	caffeine	726.0	1.45e-01										
George1986	7720	clearance	l/h/kg	plasma	298	caffeine	727.0	1.83e-01										
George1986	7721	clearance	l/h/kg	plasma	298	caffeine	728.0	1.88e-01										
George1986	7722	clearance	l/h/kg	plasma	298	caffeine	729.0	2.37e-01										
George1986	7723	clearance	l/h/kg	plasma	298	caffeine	730.0	2.52e-01										
George1986	7724	clearance	l/h/kg	plasma	298	caffeine	731.0	3.34e-01										
George1986	7725	clearance	l/h/kg	plasma	298	caffeine	732.0	7.17e-02										
George1986	7726	clearance	l/h/kg	plasma	298	caffeine	733.0	5.44e-02										
George1986	7727	clearance	l/h/kg	plasma	298	caffeine	734.0	9.90e-02										
George1986	7728	clearance	l/h/kg	plasma	298	caffeine	735.0	7.58e-02										
George1986	7729	clearance	l/h/kg	plasma	298	caffeine	736.0	8.17e-02										
George1986	7730	clearance	l/h/kg	plasma	298	caffeine	737.0	1.11e-01										
George1986	7731	clearance	l/h/kg	plasma	298	caffeine	738.0	1.47e-01										
George1986	7732	clearance	l/h/kg	plasma	298	caffeine	739.0	8.76e-02										
George1986	7733	clearance	l/h/kg	plasma	298	caffeine	740.0	2.17e-01										
George1986	7734	clearance	l/h/kg	plasma	298	caffeine	741.0	2.07e-01										
George1986	7643	thalf	h	plasma	300	antipyrine			155.0	1.15e+01	8.03e-01	2.21e-01	2.54e+00			1.63e+01	7.95e+00	
George1986	7644	thalf	h	plasma	300	antipyrine			156.0	1.15e+01	7.49e-01	2.06e-01	2.37e+00			1.55e+01	7.31e+00	
George1986	7645	thalf	h	plasma	300	antipyrine			157.0	1.28e+01	9.33e-01	2.31e-01	2.95e+00			1.65e+01	8.22e+00	
George1986	7646	thalf	h	plasma	300	antipyrine			158.0	1.25e+01	6.74e-01	1.70e-01	2.13e+00			1.65e+01	4.40e-01	
George1986	7647	clearance	l/h/kg	plasma	300	antipyrine			155.0	6.12e-02	5.69e-03	2.94e-01	1.80e-02			9.12e-02	3.54e-02	
George1986	7648	clearance	l/h/kg	plasma	300	antipyrine			156.0	6.48e-02	5.12e-03	2.50e-01	1.62e-02			9.66e-02	4.26e-02	
George1986	7649	clearance	l/h/kg	plasma	300	antipyrine			157.0	5.46e-02	4.93e-03	2.86e-01	1.56e-02			7.92e-02	3.60e-02	
George1986	7650	clearance	l/h/kg	plasma	300	antipyrine			158.0	5.64e-02	3.60e-03	2.02e-01	1.14e-02			7.50e-02	4.14e-02	
George1986	7651	vd	l/kg	plasma	300	antipyrine			155.0	9.70e-01	5.06e-02	1.65e-01	1.60e-01			1.15e+00	6.70e-01	
George1986	7652	vd	l/kg	plasma	300	antipyrine			156.0	1.04e+00	5.69e-02	1.73e-01	1.80e-01			1.34e+00	7.50e-01	
George1986	7653	vd	l/kg	plasma	300	antipyrine			157.0	9.50e-01	3.48e-02	1.16e-01	1.10e-01			1.10e+00	7.70e-01	
George1986	7654	vd	l/kg	plasma	300	antipyrine			158.0	9.90e-01	3.79e-02	1.21e-01	1.20e-01			1.21e+00	8.30e-01	
George1986	7619	thalf	h	plasma	298	caffeine			155.0	3.59e+00	3.35e-01	2.95e-01	1.06e+00			5.10e+00	2.33e+00	
George1986	7620	thalf	h	plasma	298	caffeine			156.0	4.54e+00	4.65e-01	3.24e-01	1.47e+00			8.11e+00	2.73e+00	
George1986	7621	thalf	h	plasma	298	caffeine			157.0	5.89e+00	7.56e-01	4.06e-01	2.39e+00			9.72e+00	3.13e+00	
George1986	7622	thalf	h	plasma	298	caffeine			158.0	5.19e+00	5.31e-01	3.24e-01	1.68e+00			7.96e+00	3.18e+00	
George1986	7623	clearance	l/h/kg	plasma	298	caffeine			155.0	1.77e-01	2.45e-02	4.37e-01	7.74e-02			3.31e-01	7.68e-02	
George1986	7624	clearance	l/h/kg	plasma	298	caffeine			156.0	1.50e-01	1.59e-02	3.36e-01	5.04e-02			2.24e-01	4.74e-02	
George1986	7625	clearance	l/h/kg	plasma	298	caffeine			157.0	1.12e-01	1.80e-02	5.08e-01	5.70e-02			2.14e-01	5.10e-02	
