	name	substances	creator	curators	groups_count	group_all_count	groups	individuals_count	individuals	interventions_count	outputs_count	timecourses_count	results_count
18	Desmond1980	caffeine	Matthias König	Jan Grzegorzewski,Matthias König	4	33.0	[{'count': 33, 'subject_name': 'all'}, {'count': 15, 'subject_name': 'S1'}, {'count': 10, 'subject_name': 'S2'}, {'count': 8, 'subject_name': 'S3'}]	0		1	10	0	10
28	O'Neal1999	codeine	Jan Grzegorzewski	Jan Grzegorzewski	1	17.0	[{'count': 17, 'subject_name': 'all'}]	0		1	6	3	9
86	Henkel2005	glucose glucagon insulin	Matthias König	Matthias König	4	64.0	[{'count': 64, 'subject_name': 'all'}, {'count': 27, 'subject_name': 'control'}, {'count': 15, 'subject_name': 'igt'}, {'count': 24, 'subject_name': 't2dm'}]	0		1	0	9	9
57	Jeppesen1996	fluvoxamine caffeine	Matthias König	Jan Grzegorzewski,Matthias König	1	8.0	[{'count': 8, 'subject_name': 'all'}]	0		2	0	8	8
60	Koch1999	caffeine paraxanthine	Matthias König	Matthias König	1	6.0	[{'count': 6, 'subject_name': 'all'}]	6	['1', '2', '3', '4', '5', '6']	1	6	0	6
80	Thomaseth2008	glucose insulin	Matthias König	Matthias König	3	22.0	[{'count': 22, 'subject_name': 'all'}, {'count': 10, 'subject_name': 'control'}, {'count': 12, 'subject_name': 't2dm'}]	0		1	0	6	6
25	Mitchell1991	codeine	Jan Grzegorzewski	Jan Grzegorzewski,Matthias König	1	4.0	[{'count': 4, 'subject_name': 'all'}]	4	['C', 'E', 'F', 'O']	1	0	4	4
96	Hovorka2002	glucose insulin	Matthias König	Matthias König	1	6.0	[{'count': 6, 'subject_name': 'all'}]	0		1	0	4	4
79	Felig1969	glucose insulin	Matthias König	Matthias König	3	20.0	[{'count': 20, 'subject_name': 'all'}, {'count': 10, 'subject_name': 'nonobese'}, {'count': 10, 'subject_name': 'obese'}]	0		1	0	4	4
89	Calbet2002	glucose glucagon FFA insulin	Matthias König	Matthias König	1	6.0	[{'count': 6, 'subject_name': 'all'}]	0		4	0	4	4
32	He2008	codeine	Jan Grzegorzewski	Jan Grzegorzewski,Matthias König	3	23.0	[{'count': 23, 'subject_name': 'all'}, {'count': 11, 'subject_name': 'UM'}, {'count': 12, 'subject_name': 'EM'}]	0		1	0	4	4
31	Kronstrand2001	codeine	Jan Grzegorzewski	Jan Grzegorzewski,Matthias König	1	9.0	[{'count': 9, 'subject_name': 'all'}]	0		1	0	3	3
81	Ferrannini1979	glucose insulin	Matthias König	Matthias König	1	17.0	[{'count': 17, 'subject_name': 'all'}]	0		1	0	3	3
95	Kjems2001	glucose insulin c-peptide	Matthias König	Matthias König,Kathleen Green	3	16.0	[{'count': 16, 'subject_name': 'all'}, {'count': 8, 'subject_name': 'control'}, {'count': 8, 'subject_name': 't2dm'}]	0		2	0	2	2
20	Harder1989	caffeine	Matthias König	Jan Grzegorzewski,Matthias König	1		[{'count': 12, 'subject_name': 'S1'}]	0		37	2	0	2
48	Tanaka2014		Matthias König	Matthias König	0		[]	0		0	0	0	0
83	Zavaroni1987	c-peptide	Matthias König	Matthias König,Kathleen Green	1	9.0	[{'count': 9, 'subject_name': 'all'}]	0		0	0	0	0
