category			species	species	age	age	age	age	age	age	age	age	age	age	healthy	healthy	sex	sex	smoking	smoking	weight	weight	weight	weight	weight	weight	weight	weight	weight	weight	abstinence	abstinence	abstinence	abstinence	abstinence	medication	medication	oral contraceptives	oral contraceptives	overnight fast	overnight fast	overnight fast	overnight fast	ethnicity	ethnicity	bmi	bmi	bmi	bmi	bmi	bmi	bmi	bmi	bmi	disease	disease	fasted	fasted	fasted	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	smoking amount (cigarettes)	height	height	height	height	height	height	height	height	alcohol abstinence	alcohol abstinence	alcohol abstinence	alcohol abstinence	caffeine amount	caffeine amount	caffeine amount	caffeine amount	caffeine amount	caffeine amount	caffeine amount	caffeine amount	HbA1c	HbA1c	HbA1c	HbA1c	HbA1c	HbA1c	HbA1c	glucose	glucose	glucose	glucose	glucose	glucose	phenotype	phenotype	disease duration	disease duration	disease duration	disease duration	disease duration	disease duration	blood pressure	blood pressure	blood pressure	body surface area	body surface area	body surface area	body surface area	body surface area	body surface area	genetics	genetics	caffeine	caffeine	percent fat	percent fat	percent fat	percent fat	percent fat	percent fat	lean body mass	lean body mass	lean body mass	lean body mass	lean body mass	lean body mass	obesity index	obesity index	obesity index	obesity index	smoking duration (years)	smoking duration (years)	smoking duration (years)	insulin	insulin	insulin	insulin	alcohol	alcohol	metabolic ratio	metabolic ratio	metabolic ratio	metabolic ratio	metabolic ratio	medication type	medication type	smoking amount (packyears)	smoking amount (packyears)	smoking amount (packyears)	caffeine amount (beverages)	caffeine amount (beverages)	caffeine amount (beverages)
Knop2007	304	t2dm	homo sapiens	20	10		80.00	62.00		51.00			yr				('F', 'M')	(2, 8)																		N	20									10		26.00	23.30		21.10			kg/m^2	t2dm	10																																10	8.70		6.20		%	6.90	10	12.20	8.60	6.20		mmol/l			10		5.10		1.40	yr																																																			
Knop2007	305	control	homo sapiens	20	10		69.00	58.00		44.00			yr		Y	10	('F', 'M')	(2, 8)																		N	20									10		25.00	23.10		20.00			kg/m^2																																		10	5.80		5.10		%	5.50	10	6.00	5.40	4.90		mmol/l																																																											
Kronstrand2001	267	all	homo sapiens	9											Y	9	('M', 'F')	(3, 6)			9			63.00					kg											Y	9			caucasian	9	9		30.00			20.00			yr																																															EM	9																																																									
Lafolie1996	268	all	homo sapiens	13											Y	13																								Y	13																																																																																																																						
Lia2009	269	all	homo sapiens	20											Y	20	M	20																										asian	20																																																																																																																		
Loetsch2006	270	all	homo sapiens	11											Y	11															drug	11		week	4.00					Y	11			caucasian	11																																																																																																																		
Magnusson2008	237	all	homo sapiens	7											Y	7			N	7											('alcohol', 'grapefruit juice', 'caffeine')	(7, 7, 7)				N	7							caucasian	7																																																																																																																		
Mitchell1991	271	all	homo sapiens	4	4		36.00			26.00			yr				M	4			4		76.70			53.70			kg		morphine	4		day	3.00																																																																																																																												
Mohammed1993	272	all	homo sapiens	10																																				Y	10																																																																																																																						
Mohammed1993	273	sickle cell	homo sapiens	10	5	0.13	25.00	23.00		18.00	3.00	1.34	yr		N	5					5	0.26	88.00	66.00		48.00	17.00	7.60	kg											Y	10																																																																																																																						
Mohammed1993	274	healthy	homo sapiens	10	5	0.04	24.00	23.00		22.00	1.00	0.45	yr		Y	5					5	0.15	88.00	75.00		58.00	11.00	4.92	kg											Y	10																																																																																																																						
Oh2012	238	all	homo sapiens	13																											caffeine	13		h	72.00																																																																																																																												
Parsons1978	239	all	homo sapiens	26	26		45.00	26.00		20.00			yr		Y	26															caffeine	26		h	24.00	N	26																																																																																																																										
Parsons1978	240	nonsmokers	homo sapiens	26	26		45.00	26.00		20.00			yr		Y	26	('M', 'F')	(4, 9)	N	13											caffeine	26		h	24.00	N	26	('Y', 'N')	(3, 6)																																									13			150.00				mg/day																																																																								
Parsons1978	241	smokers	homo sapiens	26	26		45.00	26.00		20.00			yr		Y	26	('M', 'F')	(4, 9)	Y	13											caffeine	26		h	24.00	N	26	('Y', 'N')	(3, 6)																					13			20.00			1/day														13			320.00				mg/day																																																			13	2.00	yr																			
Perera2011	242	all	homo sapiens	30	30		50.00			18.00			yr		Y	30	M	30	N	30											smoking	30	2.00	yr		N	30																																																																																																																										
Perera2011	243	no abstinence	homo sapiens	30	30		50.00			18.00			yr		Y	30	M	30	N	30											smoking	30	2.00	yr		N	30																																																																																																																										
Perera2011	244	24h abstinence	homo sapiens	30	30		50.00			18.00			yr		Y	30	M	30	N	30											caffeine	30		h	24.00	N	30																																																																																																																										
Renner1984	245	all	homo sapiens	36																																																																																																																																																											
Renner1984	246	S1	homo sapiens	36	10	0.29	56.00	38.00		27.00	11.00	3.48	yr		Y	10	M	10	('N', 'Y')	(4, 6)	10	0.14	86.00	74.00		58.00	10.00	3.16	kg									N	10																																																																																																																								
Renner1984	247	S2	homo sapiens	36	8	0.18	66.00	55.00		34.00	10.00	3.54	yr		N	8	('F', 'M')	(2, 6)	('Y', 'N')	(3, 4)	8	0.27	100.00	66.00		41.00	18.00	6.36	kg										8																cirrhotic liver disease	8																																																																																																							
Renner1984	248	S3	homo sapiens	36	7	0.23	73.00	56.00		42.00	13.00	4.91	yr		N	7	F	7	N	7	7	0.14	68.00	57.00		49.00	8.00	3.02	kg										7																PBC	7																																																																																																							
Renner1984	249	S4	homo sapiens	36	11	0.23	71.00	52.00		24.00	12.00	3.62	yr		N	11	('F', 'M')	(2, 9)	('Y', 'N')	(2, 4)	11	0.23	118.00	81.00		55.00	19.00	5.73	kg										11																miscellaneous liver disease	11																																																																																																							
Seng2009	250	all	homo sapiens	59											Y	59	M	59																					59					asian	59																															N	59																																																																																		
Seng2009	251	S_NCNS			14	0.10		21.00			2.00	0.53	yr						N	14	14	0.15		62.00			9.00	2.41	kg																																																			14				200.00			mg/day																																																																								
Seng2009	252	S_CNS			15	0.17		24.00			4.00	1.03	yr						N	15	15	0.17		69.00			12.00	3.10	kg																																																			15		200.00					mg/day																																																																								
Seng2009	253	S_CS			30	0.22		23.00			5.00	0.91	yr						Y	30	30	0.27		71.00			19.00	3.47	kg																															30	14.00	10.00	6.00			1/day														30		200.00					mg/day																																																																								
Spigset1999a	254	all	homo sapiens	12	12	0.10		23.60			2.30	0.66	yr		Y	12	M	12	N	12	12	0.11		74.20			8.00	2.31	kg							N	12			Y	12																																																																																																																						
Thomaseth2008	306	all	homo sapiens	22																																				Y	22																																																																																																																						
Thomaseth2008	307	control	homo sapiens	22	10			39.60				3.70	yr				('M', 'F')	(5, 5)			10			90.10				3.90	kg											Y	22					10			31.10				0.90	kg/m^2																																																																																																									
Thomaseth2008	308	t2dm	homo sapiens	22	12			53.60				2.50	yr				('F', 'M')	(5, 7)			12			81.90				3.60	kg											Y	22					12			30.50				1.10	kg/m^2																																																																																																									
ZylberKatz1984	255	all	homo sapiens	12	12		47.00			22.00			yr		Y	12			N	12											caffeine	12		h	16.00	N	12	N	12																																																																																																																								
